"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE085672022";"2022-02-18 00:00:00";"N";"29880121000157";"AMPLA PESQUISA COLETA DE DADOS LTDA";"AMPLA COLETA DE DADOS";"Governador, Deputado Federal, Deputado Estadual";"2022-02-19 00:00:00";"2022-02-20 00:00:00";500;"8745";"Cleudimar Nobre Dantas";"20000,00";"20000,00";"Pesquisa quantitativa, do tipo survey, que consiste na realização de entrevistas diretas, domiciliares e presenciais, conduzida por profissionais treinados, com a aplicação de questionários estruturados a uma amostra representativa da população votante de 16 anos ou mais de São Gonçalo do Amarante. A pesquisa será realizada nos dias 19 e 20 de fevereiro de 2022.";"O público pesquisado é composto por eleitores de 16 anos ou mais residentes em São Gonçalo do Amarante. Para produzir uma amostra representativa deste público-alvo, utilizamos um desenho amostral por conglomerados que prevê dois estágios. 
																															
No primeiro estágio, é feita uma divisão da amostra proporcionalmente ao número de eleitores de 16 anos ou mais dentro de cada área geográfica do município (distritos, bairros e localidades). No segundo estágio são selecionadas as pessoas a serem entrevistadas utilizando-se cotas amostrais para as seguintes variáveis: sexo, idade, renda familiar e escolaridade. O perfil da amostra, definido pelas cotas previstas, é o seguinte:

SEXO: Masculino (49%); Feminino (51%). IDADE: 16-24 anos (15%); 25-34 anos (25%); 35-44 anos (22%); 45-59 anos (23%); 60 ou mais (15%). RENDA FAMILIAR: Até 1 salário-mínimo (41%); mais de 1 a 2 salários-mínimos (33%); mais de 2 a 5 salários-mínimos (22%); mais de 5 salários-mínimos (4%). ESCOLARIDADE/INSTRUÇÃO: Analfabeto/lê e escreve (15%); Fundamental (28%); Ensino médio (47%); Ensino superior (10%). Fonte dos dados: TSE-Tribunal Superior Eleitoral -2022 IBGE-Censo 2010.

Está prevista eventual ponderação para as variáveis sexo e idade com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 4% entre o previsto na amostra e a coleta de dados realizada. Para as variáveis escolaridade e renda familiar o fator previsto é 1 (resultados obtidos em campo).

Dentro do público-alvo anteriormente descrito, serão realizadas 500 entrevistas. O nível de confiança estimado é de 95% e a margem de erro máxima prevista, baseada em uma amostra aleatória simples (AAS), deverá ser de 4,4 pontos percentuais para mais ou para menos em relação aos totais da amostra.

";"As entrevistas serão realizadas por uma equipe de 10 pesquisadores e 1 coordenador devidamente qualificados, com experiência e treinamento em pesquisa de opinião pública.   Após a realização da coleta de dados, as entrevistas junto aos respondentes são checadas por meio de procedimentos de consistência e de georreferenciamento dos locais de aplicação. Adicionalmente, ao longo e após os trabalhos de campo é realizada uma fiscalização que consiste na checagem de uma amostra de 20% dos questionários aplicados para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"ARQUIVO EM PDF"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE001642022";"2022-08-16 21:14:45";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-08-19 00:00:00";"2022-08-20 00:00:00";1000;"10839";"ISABELA ZARA CREMONEZE";"30000,00";"30000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado da CEARÁ.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 16% (feminino) 15%; 
25-34 (masculino) 22% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 21%;
 45-59 (masculino) 23% (feminino) 23%;
 60 e+ (masculino) 18% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 89% (feminino) 85%;
 Ensino Superior (masculino) 11% (feminino) 15%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 62% (feminino) 43%;
 Não Economicamente ativo (masculino) 38% (feminino) 57%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado de acordo com a resolução."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE061522022";"2022-07-29 21:19:13";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-08-02 00:00:00";"2022-08-03 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado de CEARÁ.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 16% (feminino) 15%; 
25-34 (masculino) 22% (feminino) 21%;
 35-44 (masculino) 21% (feminino) 20%;
 45-59 (masculino) 23% (feminino) 24%;
 60 e+ (masculino) 18% (feminino) 20%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 89% (feminino) 85%;
 Ensino Superior (masculino) 11% (feminino) 15%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 62% (feminino) 43%;
 Não Economicamente ativo (masculino) 38% (feminino) 57%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.

";" O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"Será anexado de acordo com a resolução."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE020572022";"2022-06-15 23:24:52";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-06-18 00:00:00";"2022-06-20 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Ceará, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelos órgãos: TSE 2022, PNADc 2020 e Censo 2010. 

";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Ceará, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,9% Masculino 47,1%   
Faixa Etária: De 16 a 24 anos 15,6%; De 25 a 34 anos 22,4%; De 35 a 44 anos 20,3%; De 45 a 59 anos 23,2%; Mais de 60 anos 18,4%.
Grau de Instrução: Até Fundamental Completo 47,0%; Ensino Médio incompleto ou Completo 39,7%; Ensino Superior Incompleto ou Completo 13,4%.
Nível econômico: Economicamente ativo: Masculino 61,7% e Feminino 43,2%; Não economicamente ativo: Masculino 38,3% e Feminino 56,8%.
Fonte:  TSE 2022, PNADc 2020 e CENSO 2010
";" O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"Em anexo."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE041582022";"2022-03-16 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador";"2022-03-21 00:00:00";"2022-03-22 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"10000,00";"10000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Ceará, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Ceará, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1000 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de 3,0% para um intervalo e confiança de 95%.

As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,9% Masculino 47,1%   
Faixa Etária: De 16 a 24 anos 15,6%; De 25 a 34 anos 22,4%; De 35 a 44 anos 20,3%; De 45 a 59 anos 23,2 %; Mais de 60 anos 18,4%.
Grau de Instrução: Até Fundamental Completo 47,0%; Ensino Médio incompleto ou Completo 39,7%; Ensino Superior Incompleto ou Completo 13,4%.
Renda: Até 2 salários mínimos 91,5%; De 2 a 5 salários mínimos 5,5%; Acima de 5 salários mínimos 3,0%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e  https://cidades.ibge.gov.br/brasil/ce/panorama (CENSO 2010)


";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE076082022";"2022-07-10 15:40:42";"N";"23254436000102";"VOX DO BRASIL PESQUISAS E PARTICIPACOES LTDA";"#NULO#";"Governador, Senador";"2022-07-10 00:00:00";"2022-07-13 00:00:00";1300;"(6aregião) Nº 8681";"Eline Cleubia Veiga Morais de Souza";"80000,00";"80000,00";"Pesquisa quantitativa, de survey, que consiste na realização de entrevistas
pessoais, domiciliares e presenciais, conduzidas por profissionais treinados,
com a aplicação de questionários estruturados a uma amostra
representativa da população votante de 16 anos ou mais no estado do Ceará.";"O público pesquisado é composto por eleitores de 16 anos ou mais
residentes no estado do Ceará. Para produzir uma amostra representativa
desse público-alvo, utilizamos um desenho amostral por conglomerados que
prevê três estágios. No primeiro estágio, é feito um sorteio probabilístico de
municípios para comporem a amostra por meio do método PPT
(Probabilidade Proporcional ao Tamanho) a partir de suas populações
votantes de 16 anos ou mais. Dentro da lista de municípios sorteados, no
segundo estágio, é realizado um sorteio de bairros , localidades onde serão
realizadas as entrevistas. Por fim, no terceiro estágio, são selecionados
domicílios e pessoas a serem entrevistadas utilizando-se cotas amostrais
para as seguintes variáveis: sexo, idade, renda familiar e escolaridade. O perfil
da amostra, definido pelas cotas previstas, é o seguinte:

SEXO: Masculino (47%); Feminino (53%). IDADE: 16-24 anos (15%); 25-34 anos
(22%); 35-44 anos (21%); 45-59 anos (24%); 60 ou mais (18%). RENDA FAMILIAR:
Até 2 salários-mínimos (47%); mais de 2 a 5 salários-mínimos (38%); acima de
5 salários-mínimos (14%). ESCOLARIDADE/INSTRUÇÃO: Até Fundamental
completo (46%); Ensino médio incompleto ou completo (38%); Ensino
superior incompleto ou completo (15%). Fonte dos dados: TSE-Tribunal
Superior Eleitoral - 2022; IBGE-Censo 2010; IBGE-PNAD 2015;PNADC 2021
Está prevista eventual ponderação da amostra para correção das variáveis
sexo, idade, renda familiar e escolaridade com base nos percentuais
anteriormente mencionados, caso ocorram diferenças entre os percentuais
previstos na amostra e a coleta de dados realizada.
Dentro do público-alvo, serão realizadas 1.300 entrevistas. O nível de
confiança estimado é de 95% e a margem de erro máxima prevista, baseada
em uma amostra aleatória simples (AAS), é de cerca de 2,7 pontos
percentuais para mais ou para menos em relação aos totais da amostra.";"As entrevistas serão realizadas por uma equipe de entrevistadores
devidamente qualificada, com experiência e treinamento em pesquisa de
opinião pública. Todo trabalho é feito em tablets ou outros dispositivos
eletrônicos. Após a realização da coleta de dados, as entrevistas junto aos
respondentes são checadas por meio de procedimentos de consistência.
Adicionalmente, ao longo e após os trabalhos de campo, é realizada uma
fiscalização que consiste na checagem de uma amostra de 20% dos
questionários aplicados para verificação das respostas e da adequação dos
entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado do Ceará. A relação dos
municípios e áreas selecionadas para a pesquisa constará em anexo a ser
apresentado até o dia seguinte à data a partir da qual a pesquisa puder ser
divulgada, conforme §7o do art. 2o da Resolução-TSE no. 23.600/2019."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE080662022";"2022-08-23 12:38:37";"N";"19259002000128";"NERVERA SERVICOS DE INFORMATICA LTDA";"NERVERA";"Governador, Senador";"2022-08-23 00:00:00";"2022-08-26 00:00:00";1600;"5826-A";"Gabrielle Alves Palermo Cavalcante";"25000,00";"25000,00";"Pesquisa quantitativa com coleta aleatória via questionário estruturado web e pós-estratificação da amostra de acordo com as características do eleitorado do Ceará.
";"Amostra aleatória pós-estratificada via algoritmo iterativo utilizando-se quotas amostrais proporcionais representativas, em função das características do eleitorado do CE: SEXO: Masculino - 47%; Feminino - 53%. FAIXA ETÁRIA: Entre 16 e 24 anos: 15%; Entre 25 e 34 anos: 22%; Entre 35 e 44 anos: 20%; Entre 45 e 59 anos: 23%; 60 anos ou mais: 19%. ESCOLARIDADE: Ensino Fundamental completo ou incompleto e eleitores sem educação formal: 42%; Ensino Médio completo ou incompleto: 41%; Ensino Superior completo ou incompleto: 17%. NÍVEL ECONÔMICO: Renda familiar mensal até R$2000: 54%; Mais de R$2.000 a R$3.000: 22%; Mais de R$3.000 a R$5.000: 13%; Mais de R$5.000 a R$10.000: 8%; Mais de R$10.000: 3%. OBS.: devido ao arredondamento, a soma dos percentuais pode variar de 99% a 101%. Na agregação final, para cada variável de ponderação serão admissíveis desvios de até 2 pontos percentuais em relação as quotas estipuladas. O nível de confiança estimado é de 95% para uma margem de erro de +/- 2 pontos percentuais. FONTE DOS DADOS: PNADC 2021 para as cotas de escolaridade e nível econômico | TSE 2022 para as cotas de sexo e faixa etária.
";"Coleta feita com a utilização de questionário eletrônico com procedimentos específicos para o armazenamento seguro dos dados. São checados manualmente no mínimo 15% dos questionários para detectar possíveis anomalias. Pesquisadores especializados realizam internamente uma verificação exaustiva da consistência dos dados antes da divulgação dos resultados finais.
";"Conforme previsto no art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa é complementado com os dados relativos aos municípios e bairros abrangidos pela pesquisa."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE095642022";"2022-03-26 00:00:00";"N";"09409427000112";"INSTITUTO OPNUS DE OPINIAO E PESQUISA LTDA";"INSTITUTO OPNUS";"Governador, Senador";"2022-03-26 00:00:00";"2022-03-31 00:00:00";2000;"9531";"Lorena Maurícia Neris Silva";"80000,00";"80000,00";"Pesquisa quantitativa face a face realizada por pesquisadores especialmente treinados para este tipo de pesquisa. Os entrevistados constituem uma amostra representativa dos eleitores do estado do Ceará.";"O modelo de amostragem utilizado é o de conglomerados em 3 estágios. No primeiro estágio são selecionados os conglomerados: municípios, com PPT (Probabilidade Proporcional ao Tamanho) sistemático. A medida de tamanho é o eleitorado dos municípios. No segundo estágio faz-se um sorteio dos bairros/localidades onde as entrevistas serão realizadas. No terceiro estágio, são selecionados de cada conglomerados os eleitores segundo cotas amostrais para as variáveis sexo, faixa etária, nível de escolaridade e renda familiar. O perfil da amostra é o seguinte: Sexo: 47,8% masculino; 52,2% feminino / Idade: 19,2% 16-24 anos; 24,4% 25-34 anos; 19,4% 35-44 anos; 21,3% 45-59 anos; 15,7% 60 anos ou mais / Escolaridade: 45,9% até fundamental; 40,3% médio; 13,9% superior / Renda familiar: 42% até 2 salários mínimos; 47% de 2 a 6 salários mínimos; 12% mais de 6 salários mínimos. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada. Serão realizadas 2.000 entrevistas, o intervalo de confiança estimado é de 95% e a margem de erro máxima prevista, baseada em uma amostra aleatória simples (AAS), é de cerca de 2,2 pontos percentuais para mais ou para menos para os resultados totais da amostra.";"A pesquisa é realizada por uma equipe de entrevistadores profissionais do Instituto Opnus, devidamente treinados para o trabalho. Os questionários são submetidos a uma fiscalização de, no mínimo, 20% dos questionários aplicados por cada entrevistador. A fiscalização é realizada simultaneamente à coleta de dados em campo.";"A área de abrangência da pesquisa é o estado do Ceará. A relação completa dos municípios será encaminhada posteriormente, a partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, conforme Resolução 23.600/2019 do TSE."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE016932022";"2022-07-29 22:56:07";"N";"11849437000110";"IPESPE INST DE PESQUISAS SOCIAIS POLITICAS E ECONOMICAS";"#NULO#";"Governador, Senador";"2022-07-30 00:00:00";"2022-08-02 00:00:00";1000;"5255 da 5a Região";"Joaquim André Harmes Figueiredo";"42000,00";"42000,00";"Pesquisa quantitativa, telefônica, através de entrevistas a pessoas às quais é aplicado um questionário estruturado. Essas pessoas constituem uma amostra representativa dos eleitores do estado do Ceará com acesso a telefone celular e/ou rede telefônica fixa (na residência ou no trabalho). As entrevistas serão realizadas por equipes de pesquisadores, com bastante experiência nesse tipo de trabalho, e especialmente treinados para esta pesquisa.";"Serão realizadas 1.000 entrevistas no estado do Ceará. Sendo 28% na capital, 15% na periferia e 57% no interior. No plano de amostragem utilizado para a estratificação são considerados os municípios, os sexos e as faixas etárias dos entrevistados. Inicialmente as unidades amostrais são os municípios e no estágio seguinte são os eleitores residentes nos municípios. Para a seleção dos entrevistados será utilizado o sistema de cotas amostrais segundo Sexo e Grupos de idade. O número de entrevistas foi estabelecido com base em uma amostragem aleatória simples com um nível estimado de 95,45 % de confiança e uma margem de erro estimada de 3,2 pontos percentuais sobre os resultados encontrados no total da amostra. A distribuição amostral esperada é masculino 47%, feminino 53%; 16 a 24 anos 15%, 25 a 44 anos 42% ,45 a 59 anos 23% e 60 anos e mais 19%; até ensino fundamental 45%, ensino médio 42% e ensino superior 13%; renda familiar de até 2 salários mínimos 60%, de mais de 2 a 5 salários mínimos 30% e de mais de 5 mínimos 10%. Está prevista eventual ponderação para correção das variáveis demográficas e econômicas, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Fontes dos Dados: IBGE, PNAD 2015, e TSE.";"Após as entrevistas, os questionários serão submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores, para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área física de realização da pesquisa é o Estado do Ceará. Os municípios nos quais serão realizadas as entrevistas serão informados após a conclusão do levantamento de campo."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"CE";"CE";"CEARÁ";"CE079682022";"2022-08-19 19:23:16";"N";"11849437000110";"IPESPE INST DE PESQUISAS SOCIAIS POLITICAS E ECONOMICAS";"#NULO#";"Governador, Senador";"2022-08-20 00:00:00";"2022-08-23 00:00:00";1000;"5255 da 5a Região";"Joaquim André Harmes Figueiredo";"42000,00";"42000,00";"Pesquisa quantitativa, telefônica, através de entrevistas a pessoas às quais é aplicado um questionário estruturado. Essas pessoas constituem uma amostra representativa dos eleitores do estado do Ceará com acesso a telefone celular e/ou rede telefônica fixa (na residência ou no trabalho). As entrevistas serão realizadas por equipes de pesquisadores, com bastante experiência nesse tipo de trabalho, e especialmente treinados para esta pesquisa.";"Serão realizadas 1.000 entrevistas no estado do Ceará. Sendo 28% na capital, 15% na periferia e 57% no interior. No plano de amostragem utilizado para a estratificação são considerados os municípios, os sexos e as faixas etárias dos entrevistados. Inicialmente as unidades amostrais são os municípios e no estágio seguinte são os eleitores residentes nos municípios. Para a seleção dos entrevistados será utilizado o sistema de cotas amostrais segundo Sexo e Grupos de idade. O número de entrevistas foi estabelecido com base em uma amostragem aleatória simples com um nível estimado de 95,45 % de confiança e uma margem de erro estimada de 3,2 pontos percentuais sobre os resultados encontrados no total da amostra. A distribuição amostral esperada é masculino 47%, feminino 53%; 16 a 24 anos 15%, 25 a 44 anos 42% ,45 a 59 anos 23% e 60 anos e mais 19%; até ensino fundamental 45%, ensino médio 42% e ensino superior 13%; renda familiar de até 2 salários mínimos 60%, de mais de 2 a 5 salários mínimos 30% e de mais de 5 mínimos 10%. Está prevista eventual ponderação para correção das variáveis demográficas e econômicas, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Fontes dos Dados: IBGE, PNAD 2015, e TSE.";"Após as entrevistas, os questionários serão submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores, para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área física de realização da pesquisa é o Estado do Ceará. Os municípios e bairros nos quais serão realizadas as entrevistas serão informados após a conclusão do levantamento de campo. Conforme define a Legislação na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa."
