"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF017482022";"2022-07-11 14:29:22";"N";"24302422000180";"OPP O PRIMEIRO PORTAL PESQUISA DE MERCADO LTDA";"OPP O PRIMEIRO PORTAL E VERITAS IP";"Governador";"2022-06-28 00:00:00";"2022-07-01 00:00:00";1536;"8991";"Geraldo Lopes de Souza Júnior";"20000,00";"20000,00";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais e presenciais, conduzidas por profissionais treinados, com a aplicação de questionários estruturados a uma amostra representativa da população votante de 16 anos ou mais no Distrito Federal.";"O público pesquisado é composto por eleitores de 16 anos ou mais residentes no Distrito Federal. Para produzir uma amostra representativa desse público-alvo utilizamos um desenho amostral por conglomerados que prevê dois estágios. No primeiro estágio, é realizado um sorteio probabilístico por meio do método PPT (Probabilidade Proporcional ao Tamanho) aos pontos de fluxo a serem visitados pelos entrevistadores, sorteio que tem como base o total de eleitores acima de 16 anos residentes nos setores. Em seguida, são selecionadas as pessoas a serem entrevistadas utilizando-se cotas amostrais para as seguintes variáveis: sexo, idade, renda familiar e escolaridade. O perfil da amostra, definido pelas cotas previstas, é o seguinte: SEXO: Masculino (46%); Feminino (54%). IDADE: 16-24 anos (14%); 25-34 anos (21%); 35-44 anos (23%); 45-59 anos (26%); 60 ou mais (16%). RENDA FAMILIAR: Até 2 SM (33%); mais de 2 a 5 SM (30%); acima de 5 SM (37%). ESCOLARIDADE: Até Fundamental completo (23%); Médio incompleto ou completo (42%); Superior incompleto ou completo (35%). Fonte dos dados: TSE-Tribunal Superior Eleitoral - 2022; IBGE-Censo 2010. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada. Dentro do público-alvo, serão realizadas 1536 entrevistas no Distrito Federal. O nível de confiança estimado é de 95% e a margem de erro máxima prevista, baseada em uma amostra aleatória simples (AAS), é de cerca de 2,5 pontos percentuais para mais ou para menos em relação aos totais da amostra.";"As entrevistas serão realizadas por uma equipe de entrevistadores devidamente qualificada, com experiência e treinamento em pesquisa de opinião pública. Todo trabalho é feito em tablets ou outros dispositivos eletrônicos. Após a realização da coleta de dados, as entrevistas junto aos respondentes são checadas por meio de procedimentos de consistência. Adicionalmente, ao longo e após os trabalhos de campo, é realizada uma fiscalização que consiste na checagem de uma amostra de 15% dos questionários aplicados para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é Distrito Federal com um total de 1.536 entrevistas distribuídos nas seguintes áreas: Águas Claras (73); Brasília/Plano Piloto (115); Brazlândia (29); Candangolândia (17); Ceilândia (229); Cruzeiro (21); Gama (71); Guará (73); Itapoã (34); Jardim Botânico (20); Lago Norte (22); Lago Sul (21); Núcleo Bandeirante (17); Paranoá (27); Park Way (17); Planaltina (96); Recanto das Emas (75); Riacho Fundo (22); Riacho Fundo II (28); Samambaia (128); Santa Maria (61); São Sebastião (50); Scia Estrutural (20); Sobradinho (35); Sobradinho II (53); Sudoeste/Octogonal (34); Taguatinga (108); Vicente Pires (42)."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF000402022";"2022-06-02 21:35:40";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-06-06 00:00:00";"2022-06-07 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Distrito Federal, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE (https://www.tre-df.jus.br/transparencia-e-prestacao-de-contas/paineis/perfil-do-eleitorado) e do CENSO 2010.";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Distrito Federal, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores. 
Coeficiente de confiança e margem de erro:  A margem de erro de 3,0% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 54,0% Masculino 46,0%   
Faixa Etária: De 16 a 24 anos 11,1% ; De 25 a 34 anos 21,1%; De 35 a 44 anos 23,6%; De 45 a 59 anos 26,7 %; Mais de 60 anos 17,5%.
Grau de Instrução: Até Fundamental Completo 22,9%; Ensino Médio incompleto ou Completo 43,3%;  Ensino Superior Incompleto ou Completo 33,8%.
Renda: Até 2 salários mínimos 66,6%; De 2 a 5 salários mínimos 14,7%;  Acima de 5 salários mínimos 18,7%
Fonte:  https://www.tre-df.jus.br/transparencia-e-prestacao-de-contas/paineis/perfil-do-eleitorado  e      https://cidades.ibge.gov.br/brasil/df/pesquisa/23/22787?detalhes=true   (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF020812022";"2022-07-19 23:18:51";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-07-22 00:00:00";"2022-07-23 00:00:00";1500;"10839";"ISABELA ZARA CREMONEZE";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no DISTRITO FEDERAL.

";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 14% (feminino) 13%; 
25-34 (masculino) 21% (feminino) 20%;
 35-44 (masculino) 23% (feminino) 23%;
 45-59 (masculino) 26% (feminino) 26%;
 60 e+ (masculino) 16% (feminino) 18%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 68% (feminino) 66%;
 Ensino Superior (masculino) 32% (feminino) 34%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 73% (feminino) 58%;
 Não Economicamente ativo (masculino) 27% (feminino) 42%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF010362022";"2022-03-15 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-03-18 00:00:00";"2022-03-19 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Distrito Federal, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE (https://www.tre-df.jus.br/transparencia-e-prestacao-de-contas/paineis/perfil-do-eleitorado) e do CENSO 2010 (IBGE).";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Distrito Federal, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores. 
Coeficiente de confiança e margem de erro:  A margem de erro de 3,0% para um intervalo e confiança de 95%.

As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 54,0% Masculino 46,0%   
Faixa Etária: De 16 a 24 anos 11,1% ; De 25 a 34 anos 21,1%; De 35 a 44 anos 23,6%; De 45 a 59 anos 26,7 %; Mais de 60 anos 17,5%.
Grau de Instrução: Até Fundamental Completo 22,9%; Ensino Médio incompleto ou Completo 43,3%;  Ensino Superior Incompleto ou Completo 33,8%.
Renda: Até 2 salários mínimos 66,6%; De 2 a 5 salários mínimos 14,7%;  Acima de 5 salários mínimos 18,7%
Fonte:  https://www.tre-df.jus.br/transparencia-e-prestacao-de-contas/paineis/perfil-do-eleitorado  e      https://cidades.ibge.gov.br/brasil/df/pesquisa/23/22787?detalhes=true   (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF082272022";"2022-07-11 20:35:21";"N";"22445600000104";"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.";"#NULO#";"Governador, Senador";"2022-07-11 00:00:00";"2022-07-14 00:00:00";1500;"6731";"Margarida Maria de Mendonça";"147500,00";"147500,00";"Pesquisa quantitativa, de survey, que consiste na realização de entrevistas pessoais, domiciliares e presenciais, conduzidas por profissionais treinados, com a aplicação de questionários estruturados a uma amostra representativa da população votante de 16 anos ou mais no Distrito Federal.";"O público pesquisado é composto por eleitores de 16 anos ou mais residentes no Distrito Federal. Para produzir uma amostra desse público-alvo, utilizamos um desenho amostral por conglomerados que prevê dois estágios. No primeiro estágio, é feito um sorteio probabilístico de municípios para comporem a amostra por meio do método PPT (Probabilidade Proporcional ao Tamanho) de setores censitários a serem visitados pelos entrevistadores, sorteio que tem como base o total de habitantes acima de 16 anos residentes nos setores. No segundo estágio, são selecionados domicílios e pessoas a serem entrevistadas utilizando-se cotas amostrais para as seguintes variáveis: sexo, idade, renda familiar e escolaridade. O perfil da amostra, definido pelas cotas previstas, é o seguinte:

SEXO: Masculino (46%); Feminino (54%). IDADE: 16-24 anos (12%); 25-34 anos (21%); 35-44 anos (24%); 45-59 anos (26%); 60 ou mais (17%). RENDA FAMILIAR: Até 2 salários-mínimos (20%); mais de 2 a 5 salários-mínimos (33%); acima de 5 salários-mínimos (47%). ESCOLARIDADE/INSTRUÇÃO: Até Fundamental completo (22%); Ensino médio incompleto ou completo (38%); Ensino superior incompleto ou completo (40%). Fonte dos dados: TSE-Tribunal Superior Eleitoral - 2022; IBGE-Censo 2010; IBGE-PNADC 2021 e 2022.

Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada. 

Dentro do público-alvo, serão realizadas 1500 entrevistas. O nível de confiança estimado é de 95% e a margem de erro máxima prevista, baseada em uma amostra aleatória simples (AAS), é de cerca de 2,5 pontos percentuais para mais ou para menos em relação aos totais da amostra.";"As entrevistas serão realizadas por uma equipe de entrevistadores devidamente qualificada, com experiência e treinamento em pesquisa de opinião pública. Todo trabalho é feito em tablets ou outros dispositivos eletrônicos. Após a realização da coleta de dados, as entrevistas junto aos respondentes são checadas por meio de procedimentos de consistência. Adicionalmente, ao longo e após os trabalhos de campo, é realizada uma fiscalização que consiste na checagem de uma amostra de 20% dos questionários aplicados para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Distrito Federal. A relação das áreas selecionadas para a pesquisa constará em anexo a ser apresentado até o dia seguinte à data a partir da qual a pesquisa puder ser divulgada, conforme §7º do art. 2º da Resolução-TSE nº. 23.600/2019."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF078382022";"2022-08-17 11:40:49";"N";"02501289000158";"OPINIAO CONSULTORIA LTDA";"OPINIAO";"Governador, Senador, Deputado Federal";"2022-08-18 00:00:00";"2022-08-20 00:00:00";1100;"7745";"Alexandre de Araújo Garcia";"28000,00";"28000,00";"Pesquisa quantitativa face-a-face realizada por meio de questionário estruturado e aplicado por entrevistadores treinados e seguindo os critérios da norma ABNT NBR ISO 20.252:2012 e coleta de dados utilizando tablets com monitoramento GPS para garantir confiabilidade e qualidade. O público-alvo da pesquisa é o universo de eleitores do Distrito Federal. Para tanto, elaborou-se um desenho amostral que contemple todo o DF. Haverá perguntas filtro para que seja garantido que os entrevistados pertençam ao público-alvo de interesse da pesquisa.";"Foi considerado o universo de eleitores disponíveis no TSE (2.204.086 eleitores / Maio 2022). O plano amostral foi elaborado usando dados da CODEPLAN (PDAD 2015), TSE (estatísticas do eleitorado, 2022) e IBGE (CENSO 2010). A amostra representativa do eleitorado do DF foi elaborada por meio do controle de quotas por sexo, idade e instrução, conforme a seguinte distribuição: IDADE HOMENS: 16 a 24 anos 22,26%; 25 a 34 anos 19,43%; 35 a 44 anos 18,69%; 45 a 59 anos 21,74%; 60 anos ou mais 17,88%; IDADE MULHERES: : 16 a 24 anos 18,74%; 25 a 34 anos 18,84%; 35 a 44 anos 19,35%; 45 a 59 anos 23,12%; 60 anos ou mais 19,95%; ESCOLARIDADE: Ensino fundamental incompleto 17,36%; Ensino fundamental completo / ensino médio incompleto 18,98%; Ensino médio completo 30,26%; Ensino superior incompleto 10,33%; Ensino superior completo 23,06%. Se necessário, os dados serão ponderados segundo as variáveis sexo e idade, para corrigir possíveis distorções entre o plano amostral previsto e o executado. As variáveis grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (amostra auto ponderada). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, e de 3%. para mais ou para menos sobre os resultados encontrados no total da amostra.";"s entrevistas serão realizadas por uma equipe de entrevistadores e supervisores contratados pela OPINIÃO. Os questionários serão aplicados utilizando-se tablets com um sistema eletrônico pelo qual as entrevistas serão gravadas e auditadas para garantir a qualidade do campo realizado. Neste ambiente eletrônico as entrevistas realizadas estarão disponíveis para a supervisão acrescidas de time stamps por questão, coordenadas GPS do local da realização da entrevista e pelo menos 50% das entrevistas mapeadas, e 50% dos áudios das entrevistas realizadas. Com estes elementos, 10% das entrevistas realizadas por pesquisador serão fiscalizadas para verificação das respostas e adequação dos entrevistados aos parâmetros amostrais e de qualidade do campo.";"Águas Claras-52; Brasília/Plano Piloto-82; Brazlândia-21; Candangolândia-12; Ceilândia-164; Cruzeiro-15; Gama-51; Guará-52; Itapoã-24; Jardim Botânico-14; Lago Norte-16; Lago Sul-15; Núcleo Bandeirante-12; Paranoá-19; Park Way-12; Planaltina-69; Recanto das Emas-54; Riacho Fundo-16; Riacho Fundo II-20; Samambaia-92; Santa Maria-44; São Sebastião-36; Scia-Estrutural-14; Sobradinho-25; Sobradinho II-38; Sudoeste/Octogonal-24; Taguatinga-77; Vicente Pires-30"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF053672022";"2022-06-09 17:23:51";"N";"02501289000158";"OPINIAO CONSULTORIA LTDA";"OPINIAO";"Governador, Senador";"2022-06-09 00:00:00";"2022-06-12 00:00:00";1100;"7745";"Alexandre de Araújo Garcia";"28000,00";"28000,00";"Pesquisa quantitativa face-a-face realizada por meio de questionário estruturado e aplicado por entrevistadores treinados e seguindo os critérios da norma ABNT NBR ISO 20.252:2012 e coleta de dados utilizando tablets com monitoramento GPS para garantir confiabilidade e qualidade. O público-alvo da pesquisa é o universo de eleitores do Distrito Federal. Para tanto, elaborou-se um desenho amostral que contemple todo o DF. Haverá perguntas filtro para que seja garantido que os entrevistados pertençam ao público-alvo de interesse da pesquisa.";"Foi considerado o universo de eleitores disponíveis no TSE (2.204.086 eleitores / Maio 2022). O plano amostral foi elaborado usando dados da CODEPLAN (PDAD 2015), TSE (estatísticas do eleitorado, 2022) e IBGE (CENSO 2010). A amostra representativa do eleitorado do DF foi elaborada por meio do controle de quotas por sexo, idade e instrução, conforme a seguinte distribuição: IDADE HOMENS: 16 a 24 anos 22,26%; 25 a 34 anos 19,43%; 35 a 44 anos 18,69%; 45 a 59 anos 21,74%; 60 anos ou mais 17,88%; IDADE MULHERES: : 16 a 24 anos 18,74%; 25 a 34 anos 18,84%; 35 a 44 anos 19,35%; 45 a 59 anos 23,12%; 60 anos ou mais 19,95%; ESCOLARIDADE: Ensino fundamental incompleto 17,36%; Ensino fundamental completo / ensino médio incompleto 18,98%; Ensino médio completo 30,26%; Ensino superior incompleto 10,33%; Ensino superior completo 23,06%. Se necessário, os dados serão ponderados segundo as variáveis sexo e idade, para corrigir possíveis distorções entre o plano amostral previsto e o executado. As variáveis grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (amostra auto ponderada). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, e de 3%. para mais ou para menos sobre os resultados encontrados no total da amostra.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores contratados pela OPINIÃO. Os questionários serão aplicados utilizando-se tablets com um sistema eletrônico pelo qual as entrevistas serão gravadas e auditadas para garantir a qualidade do campo realizado. Neste ambiente eletrônico as entrevistas realizadas estarão disponíveis para a supervisão acrescidas de time stamps por questão, coordenadas GPS do local da realização da entrevista e pelo menos 50% das entrevistas mapeadas, e 50% dos áudios das entrevistas realizadas. Com estes elementos, 10% das entrevistas realizadas por pesquisador serão fiscalizadas para verificação das respostas e adequação dos entrevistados aos parâmetros amostrais e de qualidade do campo.";"Águas Claras-52; Brasília/Plano Piloto-82; Brazlândia-21; Candangolândia-12; Ceilândia-164; Cruzeiro-15; Gama-51; Guará-52; Itapoã-24; Jardim Botânico-14; Lago Norte-16; Lago Sul-15; Núcleo Bandeirante-12; Paranoá-19; Park Way-12; Planaltina-69; Recanto das Emas-54; Riacho Fundo-16; Riacho Fundo II-20; Samambaia-92; Santa Maria-44; São Sebastião-36; Scia-Estrutural-14; Sobradinho-25; Sobradinho II-38; Sudoeste/Octogonal-24; Taguatinga-77; Vicente Pires-30"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF095932022";"2022-05-10 00:00:00";"N";"41938632000188";"MM IDEIA INSTITUTO DE PESQUISA LTDA.";"INSTITUTO IDEIA";"Governador";"2022-05-11 00:00:00";"2022-05-16 00:00:00";1200;"10524";"Adriana Aparecida Marçal";"23820,00";"23820,00";"Pesquisa quantitativa com aplicação de questionário estruturado, através de inquérito telefônico, junto a uma parcela representativa do eleitorado do Distrito Federal.";"Representativo do eleitorado da área em estudo selecionado por amostragem através do método de probabilidade proporcional ao tamanho (PPT), considerando a população com 16 anos ou mais residente na localidade pesquisada em função das seguintes variáveis: Gênero: Masculino: 47%; Feminino: 53%; Grupos de idade: 16-24: 16%; 25-34: 23%; 35-44: 23%; 45-59: 22%; 60 anos e mais: 15%; Grau de instrução: até Ensino Médio 64%; Ensino Superior 36%. NÍVEL ECONÔMICO: Economicamente Ativo: 69% Não Economicamente Ativo: 31%. Ponderação dos resultados: Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). Margem de Erro: A margem de erro máxima estimada é de 3% para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%. FONTE DOS DADOS: As proporções das variáveis são definidas a partir das pesquisas PNAD 2021 e Censo 2010/IBGE, TSE 2021.";"Os pesquisadores envolvidos na realização desta pesquisa são devidamente treinados para aplicação da técnica e deste tipo de questionário, recebendo instruções específicas para cada projeto. A coleta será feita por telefone. São checados 30% dos questionários de cada pesquisador, posteriormente, por telefone. Há monitoramento, ao vivo, de contatos telefônicos. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A área de abrangência da coleta é o Distrito Federal. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.600/2019 do TSE."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF041712022";"2022-06-15 14:53:39";"N";"41938632000188";"MM IDEIA INSTITUTO DE PESQUISA LTDA.";"INSTITUTO IDEIA";"Governador, Senador, Deputado Federal, Deputado Distrital";"2022-06-16 00:00:00";"2022-06-21 00:00:00";1200;"10524";"Adriana Aparecida Marçal";"23820,00";"23820,00";"Pesquisa quantitativa com aplicação de questionário estruturado, através de inquérito telefônico, junto a uma parcela representativa do eleitorado do Distrito Federal.";"Representativo do eleitorado da área em estudo selecionado por amostragem através do método de probabilidade proporcional ao tamanho (PPT), considerando a população com 16 anos ou mais residente na localidade pesquisada em função das seguintes variáveis: Gênero: Masculino: 47%; Feminino: 53%; Grupos de idade: 16-24: 16%; 25-34: 23%; 35-44: 23%; 45-59: 22%; 60 anos e mais: 15%; Grau de instrução: até Ensino Médio 64%; Ensino Superior 36%. NÍVEL ECONÔMICO: Economicamente Ativo: 69% Não Economicamente Ativo: 31%. Ponderação dos resultados: Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). Margem de Erro: A margem de erro máxima estimada é de 3% para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%. FONTE DOS DADOS: As proporções das variáveis são definidas a partir das pesquisas PNAD 2021 e Censo 2010/IBGE, TSE 2021.";"Os pesquisadores envolvidos na realização desta pesquisa são devidamente treinados para aplicação da técnica e deste tipo de questionário, recebendo instruções específicas para cada projeto. A coleta será feita por telefone. São checados 30% dos questionários de cada pesquisador, posteriormente, por telefone. Há monitoramento, ao vivo, de contatos telefônicos. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A área de abrangência da coleta é o Distrito Federal. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.600/2019 do TSE."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"DF";"DF";"DISTRITO FEDERAL";"DF029592022";"2022-07-12 12:00:23";"N";"41938632000188";"MM IDEIA INSTITUTO DE PESQUISA LTDA.";"INSTITUTO IDEIA";"Governador, Senador, Deputado Federal, Deputado Distrital";"2022-07-13 00:00:00";"2022-07-17 00:00:00";1200;"10992";"Juliana Pinto Pereira Dias";"23820,00";"23820,00";"Pesquisa quantitativa com aplicação de questionário estruturado, através de inquérito telefônico, junto a uma parcela representativa do eleitorado do Distrito Federal.";"Representativo do eleitorado da área em estudo selecionado por amostragem através do método de probabilidade proporcional ao tamanho (PPT), considerando a população com 16 anos ou mais residente na localidade pesquisada em função das seguintes variáveis: Gênero: Masculino: 47%; Feminino: 53%; Grupos de idade: 16-24: 16%; 25-34: 23%; 35-44: 23%; 45-59: 22%; 60 anos e mais: 15%; Grau de instrução: até Ensino Médio 64%; Ensino Superior 36%. NÍVEL ECONÔMICO: Economicamente Ativo: 69% Não Economicamente Ativo: 31%. Ponderação dos resultados: Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). Margem de Erro: A margem de erro máxima estimada é de 3% para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%. FONTE DOS DADOS: As proporções das variáveis são definidas a partir das pesquisas PNAD 2021 e Censo 2010/IBGE, TSE 2021.";"Os pesquisadores envolvidos na realização desta pesquisa são devidamente treinados para aplicação da técnica e deste tipo de questionário, recebendo instruções específicas para cada projeto. A coleta será feita por telefone. São checados 30% dos questionários de cada pesquisador, posteriormente, por telefone. Há monitoramento, ao vivo, de contatos telefônicos. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A área de abrangência da coleta é o Distrito Federal. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.600/2019 do TSE."
