"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO042282022";"2022-08-25 22:47:54";"N";"27747772000148";"JOICE KARLA RIBEIRO";"CONTATOS SERVICOS";"Deputado Federal, Deputado Estadual";"2022-08-22 00:00:00";"2022-08-23 00:00:00";596;"8956";"Francy Anne Barbosa Cesar";"4000,00";"4000,00";"Objetivos: O intuito da pesquisa é averiguar a intenção de votos na espontânea, estimulada e rejeição dos candidatos a Deputado Estadual e Deputado Federal em Catalão Goiás. Utilizou-se a pesquisa quantitativa, por meio de questionários.";"Calculou-se a amostra com nível de significância de 95% e margem de erro de 4,00 pontos percentuais para mais ou para menos. O tamanho da população alvo (número de eleitores do município de Catalão Goiás) é igual a 74.399 eleitores, conforme o Tribunal Superior Eleitoral. Com base no tamanho populacional, nível de confiança e margem de erro a amostra estatisticamente significativa dos eleitores do município de Catalão, Goiás corresponde a 596 eleitores de Catalão (Goiás).
 O eleitor é selecionado aleatoriamente, um por domicílio. Ponderou-se a amostra conforme sexo, idade, grau de instrução e nível econômico. Ponderação quanto ao sexo: 48,0% do sexo masculino, será entrevistados 286 eleitores do sexo masculino e 52,0% do sexo feminino, será entrevistadas 310 eleitoras do sexo feminino (de acordo com fonte do TSE). 
Ponderação quanto a faixa etária: 16 a 24 anos 13,0%, será entrevistados 77 eleitores (a); 25 a 34 anos 20,2%, será entrevistados 120 eleitores (a); 35 a 44 anos 22,1%, será entrevistos 132 eleitores (a); 45 a 59 anos 25,2%, será entrevistados 150 eleitores (a) e 60 anos ou mais 19,5%, será entrevistados 116 eleitores (a) de acordo com dados do TSE. 
Ponderação quanto ao grau de escolaridade: Analfabeto 1,5%, será entrevistados 9 eleitores (a); lê e escreve 3,8%, será entrevistados 22 eleitores (a), ensino fundamental 28,1%, será entrevistados 168 eleitores (a); ensino médio 46,0%, será entrevistados 274 eleitores (a) e ensino superior 20,5%, será entrevistados 122 eleitores (a),de acordo com dados do TSE. 
Ponderação quanto ao nível econômico: sem rendimento 1,81%, será entrevistados 11 eleitores (a); até 1 salário mínimo 45,30%, será entrevistados 270 eleitores (a), de 1 a 3 salários mínimos 41,50%, será entrevistados 247 eleitores (a); de 3 a 5 salários mínimos 6,56%, será entrevistados 39 eleitores (a); de 5 a 10 salários mínimos 3,62%, será entrevistados 22 eleitores (a) e mais de 10 salários mínimos 1,20%, será entrevistados 7 eleitores (a), de acordo com dados do IBGE. Observação 1: Todos os dados referentes a sexo, idade e escolaridade, são fontes do TSE. Observação 2: Todos os dados referentes nível econômico, a fonte é do IBGE. 
";"Todos os entrevistadores são treinados para o trabalho de campo. Cada entrevistador está devidamente identificado com crachá (com foto) e colete do instituto. Os supervisores de campo acompanham in loco a coleta dos dados, garantindo a conferência de todo material coletado. As coletas serão realizadas de forma eletrônica, por meio de tablets, garantindo assim maior agilidade nas informações. Pelo menos 10% dos questionários aplicados pelos entrevistadores são checados pelos supervisores de campo (in loco) ou por telefone, posteriormente. Todos os dados são verificados.";"A pesquisa será realizada por regiões e distritos, as regiões e distritos abrangidos serão: 
Região Sul: Bairros Pontal Norte, Castelo Branco, Estrela, Maria Amelia e Adjacentes 105 entrevistado; Região Leste: Bairros Aeroporto, Ipanema, Copacabana, Leblon, Barca, D. Matilde, Vila Maria e Adjacentes 90 entrevistados; Região Norte: Bairros Cruzeiro, Américas, Primavera, Conquista, Parati, Cidade Jardim, Teotônio Vilela, São José e Adjacentes 110 entrevistados; Região Oeste: Vereda dos Buritis, Santa Teresinha, Alto da Boa Vista, Jardim Paraiso, Parque das Mangueiras, Vila Erondina, Jardim Brasília, Vila Margon e Adjacentes 105 entrevistados; Região Central: Bairro Nossa Senhora de Fatima, Mãe de Deus, São João, Lago das Mansões, Santo Antônio, Santa Helena e Adjacentes 120 Entrevistados: Distrito de Pires Belo 25 entrevistados  e no Distrito de Santo Antônio do Rio Verde 41 entrevistados.
"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO021142022";"2022-06-17 15:59:23";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-06-21 00:00:00";"2022-06-22 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Goiás, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelos órgãos:  TSE 2022, PNADc 2020 e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado de Goiás, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,3% Masculino 47,7%   
Faixa Etária: De 16 a 24 anos 13,9%; De 25 a 34 anos 21,3%; De 35 a 44 anos 21,5%; De 45 a 59 anos 25,4%; Mais de 60 anos 17,9%.
Grau de Instrução: Até Fundamental Completo 39,1%; Ensino Médio incompleto ou Completo 42,0%; Ensino Superior Incompleto ou Completo 18,9%.
Nível econômico: Economicamente ativo: Masculino 75,3% e Feminino 53,4%; Não economicamente ativo: Masculino 24,7% e Feminino 46,6%.
Fonte:  TSE 2022, PNADc 2020 e CENSO 2010

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO031822022";"2022-02-09 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-02-14 00:00:00";"2022-02-15 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população eleitora apta no Estado de Goiás, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado de Goiás, com 16 anos ou mais. 
Amostragem - A pesquisa irá entrevistar 1000 eleitores.
Coeficiente de confiança e margem de erro - A amostra a nível municipal tem uma margem de erro de 3,0% para um intervalo e confiança de 95% 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 

Sexo: Masculino 47,7%   Feminino 52,3%
Faixa Etária: De 16 a 24 anos 13,9% ; De 25 a 34 anos 21,3%; De 35 a 44 anos 21,5%; De 45 a 59 anos 25,4%; Mais de 60 anos 17,9%.
Grau de Instrução: Até Fundamental Completo 39,1%; Ensino Médio incompleto ou Completo 42,0%; Ensino Superior Incompleto ou Completo 18,9%.
Renda: Até 2 salários mínimos 37,6%; De 2 a 5 salários mínimos 38,1%;  Acima de 5 salários mínimos 24,3%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e     https://cidades.ibge.gov.br/brasil/go/panorama (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO020792022";"2022-05-20 19:19:36";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-05-24 00:00:00";"2022-05-25 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Goiás, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. 

";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado de Goiás, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,3% Masculino 47,7%   
Faixa Etária: De 16 a 24 anos 13,9%; De 25 a 34 anos 21,3%; De 35 a 44 anos 21,5%; De 45 a 59 anos 25,4%; Mais de 60 anos 17,9%.
Grau de Instrução: Até Fundamental Completo 39,1%; Ensino Médio incompleto ou Completo 42,0%; Ensino Superior Incompleto ou Completo 18,9%.
Renda: Até 2 salários mínimos 80,3%; De 2 a 5 salários mínimos 13,5%; Acima de 5 salários mínimos 6,2%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e  https://cidades.ibge.gov.br/brasil/go/panorama   (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO008322022";"2022-07-18 21:20:07";"N";"29533384000190";"GOIAS PESQUISAS LTDA";"GOIAS PESQUISAS";"Governador, Senador";"2022-07-19 00:00:00";"2022-07-20 00:00:00";821;"8956";"Francy Anne Barbosa César";"26000,00";"26000,00";"Pesquisa quantitativa, por amostragem. A técnica de coleta de dados será a de entrevistas telefônicas por meio de ligações automatizadas para telefones fixos e celulares (sistema URA - Unidade de Resposta Audível - reversa), com base em questionário estruturado.";"Universo eleitores com 16 anos ou mais de idade no estado de GOIÁS. Para representar este universo eleitoral, o GOIÁS PESQUISAS aplicará uma amostra de 821 entrevistas finais completas. A técnica amostral será aleatória estratificada por conjunto e cidades do estado de GOIÁS, seguindo-se pela segmentação por cotas amostrais proporcionais ao universo: Sexo: masculino (47,5%), feminino (52,5%); Faixa etária: 16 a 24 anos (14,9%), 25 a 34 anos (20,8%), 35 a 44 anos (21,1%), 45 a 59 (25,1%) e 60 anos ou + (18,1%); Escolaridade: Até ensino fundamental (37,1%), ensino médio completo ou incompleto (44,4%) e ensino superior completo ou incompleto (18,5%) , tendo como parâmetros dados do TSE 2020 e Censo IBGE 2010 com projeção para 2021. Está prevista eventual ponderação para correção das variáveis sexo, faixa etária, e escolaridade com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 3,4 pontos percentuais entre o previsto na amostra e a coleta realizada. Para a variável nível econômico, o fator de ponderação é igual a 1 (resultados obtidos no campo). Intervalo de confiança: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada, considerando um modelo de amostragem aleatório simples, é de 3,4 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.";"O sistema de controle e verificação de filtros, cotas e crítica se dará por algoritmo no software (sistema automatizado) que aferirá as proporções determinadas no plano amostral, bem como filtros e consistência de respostas.";"Dados relativos às cidades abrangidas pela pesquisa. Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019). A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação de bairros, será identificada a área (a cidade) em que foi realizada): A pesquisa será realizada no estado de GOIÁS e, conforme previsto no §7º, do art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa será complementado no prazo legal com os dados relativos aos bairros abrangidos pela pesquisa ou a área em que a mesma foi realizada."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO052382022";"2022-08-21 18:04:26";"N";"29533384000190";"GOIAS PESQUISAS LTDA";"GOIAS PESQUISAS";"Governador, Senador";"2022-08-22 00:00:00";"2022-08-24 00:00:00";821;"8956";"Francy Anne Barbosa César";"26000,00";"26000,00";"Pesquisa quantitativa, por amostragem. A técnica de coleta de dados será a de entrevistas telefônicas por meio de ligações automatizadas para telefones fixos e celulares (sistema URA - Unidade de Resposta Audível - reversa), com base em questionário estruturado.";"Universo eleitores com 16 anos ou mais de idade no estado de GOIÁS. Para representar este universo eleitoral, o GOIÁS PESQUISAS aplicará uma amostra de 821 entrevistas finais completas. A técnica amostral será aleatória estratificada por conjunto e cidades do estado de GOIÁS, seguindo-se pela segmentação por cotas amostrais proporcionais ao universo: Sexo: masculino (47%), feminino (53%); Faixa etária: 16 a 24 anos (14,3%), 25 a 34 anos (20,8%), 35 a 44 anos (21,1%), 45 a 59 (25,4%) e 60 anos ou + (18,5%); Escolaridade: Até ensino fundamental (37,1%), ensino médio completo ou incompleto (44,4%) e ensino superior completo ou incompleto (18,6%) , tendo como parâmetros dados do TSE 2020 e Censo IBGE 2010 com projeção para 2021. Está prevista eventual ponderação para correção das variáveis sexo, faixa etária, e escolaridade com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 3,42 pontos percentuais entre o previsto na amostra e a coleta realizada. Para a variável nível econômico, o fator de ponderação é igual a 1 (resultados obtidos no campo). Intervalo de confiança: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada, considerando um modelo de amostragem aleatório simples, é de 3,42 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.";"O sistema de controle e verificação de filtros, cotas e crítica se dará por algoritmo no software (sistema automatizado) que aferirá as proporções determinadas no plano amostral, bem como filtros e consistência de respostas.";"A pesquisa será realizada no estado de GOIÁS e, conforme previsto no §7º, do art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa será complementado no prazo legal com os dados relativos aos bairros abrangidos pela pesquisa ou a área em que a mesma foi realizada. A área de abrangência da pesquisa está destacada no arquivo em área específica desse registro."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO054132022";"2022-01-25 00:00:00";"N";"29533384000190";"GOIAS PESQUISAS LTDA";"GOIAS PESQUISAS";"Governador, Senador";"2022-01-25 00:00:00";"2022-01-27 00:00:00";601;"8956";"Francy Anne Barbosa César";"12154,00";"12154,00";"Pesquisa quantitativa, por amostragem. A técnica de coleta de dados será a de entrevistas telefônicas por meio de ligações automatizadas para telefones fixos e celulares (sistema URA - Unidade de Resposta Audível - reversa), com base em questionário estruturado.";"Universo eleitores com 16 anos ou mais de idade no estado de GOIÁS. Para representar este universo eleitoral, o GOIÁS PESQUISAS aplicará uma amostra de 601 entrevistas finais completas. A técnica amostral será aleatória estratificada por conjunto e cidades do estado de GOIÁS, seguindo-se pela segmentação por cotas amostrais proporcionais ao universo: Sexo: masculino (47,6%), feminino (52,4%); Faixa etária: 16 a 24 anos (13,4%), 25 a 34 anos (21,2%), 35 a 44 anos (21,5%), 45 a 59 (25,7%) e 60 anos ou + (18,3%); Escolaridade: Até ensino fundamental (38,1%), ensino médio completo ou incompleto (43,1%) e ensino superior completo ou incompleto (18,8%) , tendo como parâmetros dados do TSE 2020 e Censo IBGE 2010 com projeção para 2021. Está prevista eventual ponderação para correção das variáveis sexo, faixa etária, e escolaridade com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 4 (quatro) pontos percentuais entre o previsto na amostra e a coleta realizada. Para a variável nível econômico, o fator de ponderação é igual a 1 (resultados obtidos no campo). Intervalo de confiança: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada, considerando um modelo de amostragem aleatório simples, é de 4 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.";"O sistema de controle e verificação de filtros, cotas e crítica se dará por algoritmo no software (sistema automatizado) que aferirá as proporções determinadas no plano amostral, bem como filtros e consistência de respostas.";"Dados relativos às cidades abrangidas pela pesquisa. Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019). A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação de bairros, será identificada a área (a cidade) em que foi realizada):
A pesquisa será realizada no estado de GOIÁS e, conforme previsto no §7º, do art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa será complementado no prazo legal com os dados relativos aos bairros abrangidos pela pesquisa ou a área em que a mesma foi realizada.
"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO093362022";"2022-08-04 08:23:41";"N";"15015873000145";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO EIRELI";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO";"Governador, Senador";"2022-08-04 00:00:00";"2022-08-07 00:00:00";900;"8631";"Alexandre Vasconcelos Lima";"20000,00";"20000,00";"Pesquisa do tipo quantitativa (survey), por amostragem, com aplicação de questionário face-a-face estruturado por entrevistadores treinados. O conjunto do eleitorado do Estado do Goiás-GO com 16 anos ou mais foi tomado como universo da pesquisa.
";"O plano amostral aplicado consiste em uma amostragem por cotas segundo as variáveis cidade, sexo e faixa etária (conforme dados disponíveis no site do TSE - estatística do eleitorado). A pesquisa foi autoponderada para a variável escolaridade e nível econômico, ou seja, a proporção do universo pesquisado é o mesmo daquele encontrado na amostra, não sendo necessário nenhum tipo de ponderação. As cotas são as seguintes: Quanto ao sexo: 47% do sexo masculino e 53% do sexo feminino. Quanto à faixa etária: 13% até 24 anos, 21% de 25 a 34 anos, 22% de 35 a 44 anos, 26% de 45 a 59 anos e 18% 60 anos ou mais. Considerando um nível de confiança de 95% e uma amostra de 900 entrevistados, a margem de erro da pesquisa é de 3,2 pontos percentuais para mais ou para menos.
";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para a realização da coleta de dados. São checados, no mínimo, 10% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado, codificado, digitado e, antes do processamento final, realiza-se a conferência da digitação (consistência dos dados).
";"Cidade: Goiânia, Aparecida de Goiânia, Senador Canedo, Trindade, Inhumas, Anápolis, Vianópolis, Silvania, Águas Lindas, Novo Gama, Alexania, Pirenópolis, Valparaíso, Luziânia, Formosa, Alto Paraíso, Posse, Vila Boa, Iaciara, São Miguel, Alvorada do Norte, Niquelândia, Morro Agudo, Uruaçu, Porangatu, Minaçu, Ceres, Goianésia, Jaragua, Itaberaí, Itapuranga, São Luís dos Montes Belos, Israelândia, Iporá, Caiapônia, Jataí, Rio Verde, Mineiros, Santa Helena, Quirinópolis, Acreúna, Palmeiras de Goiás, Nazário, Piracanjuba, Caldas Novas, Pires do Rio, Ipameri, Catalão, Morrinhos, Itumbiara, Buriti Alegre, Goiatuba, Cachoeira Dourada, Caçu, Itarumã."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO044952022";"2022-08-20 21:03:09";"N";"15015873000145";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO EIRELI";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO";"Governador, Senador";"2022-08-21 00:00:00";"2022-08-25 00:00:00";900;"8631";"Alexandre Vasconcelos Lima";"15000,00";"15000,00";"Pesquisa do tipo quantitativa (survey), por amostragem, com aplicação de questionário face-a-face estruturado por entrevistadores treinados. O conjunto do eleitorado do Estado do Goiás-GO com 16 anos ou mais foi tomado como universo da pesquisa.
";"O plano amostral aplicado consiste em uma amostragem por cotas segundo as variáveis cidade, sexo e faixa etária (conforme dados disponíveis no site do TSE - estatística do eleitorado). A pesquisa foi autoponderada para a variável escolaridade e nível econômico, ou seja, a proporção do universo pesquisado é o mesmo daquele encontrado na amostra, não sendo necessário nenhum tipo de ponderação. As cotas são as seguintes: Quanto ao sexo: 47% do sexo masculino e 53% do sexo feminino. Quanto à faixa etária: 13% até 24 anos, 21% de 25 a 34 anos, 22% de 35 a 44 anos, 26% de 45 a 59 anos e 18% 60 anos ou mais. Considerando um nível de confiança de 95% e uma amostra de 900 entrevistados, a margem de erro da pesquisa é de 3,2 pontos percentuais para mais ou para menos.
";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para a realização da coleta de dados. São checados, no mínimo, 10% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado, codificado, digitado e, antes do processamento final, realiza-se a conferência da digitação (consistência dos dados).
";"Cidade: Goiânia, Aparecida de Goiânia, Senador Canedo, Trindade, Inhumas, Anápolis, Vianópolis, Silvania, Águas Lindas, Novo Gama, Alexania, Pirenópolis, Valparaíso, Luziânia, Formosa, Alto Paraíso, Posse, Vila Boa, Iaciara, São Miguel, Alvorada do Norte, Niquelândia, Morro Agudo, Uruaçu, Porangatu, Minaçu, Ceres, Goianésia, Jaragua, Itaberaí, Itapuranga, São Luís dos Montes Belos, Israelândia, Iporá, Caiapônia, Jataí, Rio Verde, Mineiros, Santa Helena, Quirinópolis, Acreúna, Palmeiras de Goiás, Nazário, Piracanjuba, Caldas Novas, Pires do Rio, Ipameri, Catalão, Morrinhos, Itumbiara, Buriti Alegre, Goiatuba, Cachoeira Dourada, Caçu, Itarumã.
"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"GO";"GO";"GOIÁS";"GO071822022";"2022-07-29 21:08:11";"N";"15015873000145";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO EIRELI";"DIAGNOSTICO PESQUISAS DE COMPORTAMENTO";"Governador, Senador";"2022-07-29 00:00:00";"2022-08-02 00:00:00";900;"8631";"Alexandre Vasconcelos Lima";"20000,00";"20000,00";"Pesquisa do tipo quantitativa (survey), por amostragem, com aplicação de questionário face-a-face estruturado por entrevistadores treinados. O conjunto do eleitorado do Estado do Goiás-GO com 16 anos ou mais foi tomado como universo da pesquisa.
";"O plano amostral aplicado consiste em uma amostragem por cotas segundo as variáveis cidade, sexo e faixa etária (conforme dados disponíveis no site do TSE - estatística do eleitorado). A pesquisa foi autoponderada para a variável escolaridade e nível econômico, ou seja, a proporção do universo pesquisado é o mesmo daquele encontrado na amostra, não sendo necessário nenhum tipo de ponderação. As cotas são as seguintes: Quanto ao sexo: 47% do sexo masculino e 53% do sexo feminino. Quanto à faixa etária: 13% até 24 anos, 21% de 25 a 34 anos, 22% de 35 a 44 anos, 26% de 45 a 59 anos e 18% 60 anos ou mais. Considerando um nível de confiança de 95% e uma amostra de 900 entrevistados, a margem de erro da pesquisa é de 3,2 pontos percentuais para mais ou para menos.
";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para a realização da coleta de dados. São checados, no mínimo, 10% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado, codificado, digitado e, antes do processamento final, realiza-se a conferência da digitação (consistência dos dados).
";"Cidade: Goiânia, Aparecida de Goiânia, Senador Canedo, Trindade, Inhumas, Anápolis, Vianópolis, Silvania, Águas Lindas, Novo Gama, Alexania, Pirenópolis, Valparaíso, Luziânia, Formosa, Alto Paraíso, Posse, Vila Boa, Iaciara, São Miguel, Alvorada do Norte, Niquelândia, Morro Agudo, Uruaçu, Porangatu, Minaçu, Ceres, Goianésia, Jaragua, Itaberaí, Itapuranga, São Luís dos Montes Belos, Israelândia, Iporá, Caiapônia, Jataí, Rio Verde, Mineiros, Santa Helena, Quirinópolis, Acreúna, Palmeiras de Goiás, Nazário, Piracanjuba, Caldas Novas, Pires do Rio, Ipameri, Catalão, Morrinhos, Itumbiara, Buriti Alegre, Goiatuba, Cachoeira Dourada, Caçu, Itarumã."
