"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG088712022";"2022-07-05 18:37:48";"S";"19976273000102";"MULTI MERCADO LTDA";"#NULO#";"Governador, Senador";"2022-07-05 00:00:00";"2022-07-07 00:00:00";1460;"9306";"Alfredo Moreira Salgado";"45000,00";"45000,00";"Pesquisa quantitativa por amostragem. Aplicação de questionário estruturado por meio de ligações automatizadas para telefones fixos e celulares. A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Minas Gerais, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais)";"Universo: Eleitorado do Estado de Minas Gerais, com 16 anos ou mais. Amostragem: A pesquisa irá coletar 1460 eleitores. Coeficiente de confiança e margem de erro: A margem de erro de aproximadamente 3% para um intervalo de confiança de 95%. Sexo: Feminino 52,5% Masculino 47,5% Faixa Etária: De 16 a 24 anos 12,0%; De 25 a 34 anos 20%; De 35 a 44 anos 21,0%; De 45 a 59 anos 25%; Mais de 60 anos 22%. Grau de Instrução: Até Fundamental Completo 42%; Ensino Médio incompleto ou Completo 38%; Ensino Superior Incompleto ou Completo 20,0%. Renda: Até 2 salários mínimos 35%; De 2 a 5 salários mínimos 45%; Acima de 5 salários mínimos 20%. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada Fonte: https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais";"São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários. Em caso de inconsistências, os questionários são descartados.";"Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa(conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019, A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada)"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG044602022";"2022-08-05 09:18:39";"S";"19976273000102";"MULTI MERCADO LTDA";"#NULO#";"Deputado Federal";"2022-08-08 00:00:00";"2022-08-10 00:00:00";400;"11035";"Louise Barbosa dos Santos Machado";"12000,00";"12000,00";"Pesquisa quantitativa por amostragem. Aplicação de questionário estruturado por meio de ligações automatizadas para telefones fixos e celulares. A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Minas Gerais, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais)";"
Plano amostral e ponderação quanto a sexo, idade, grau de instrução e nível econômico do entrevistado; intervalo de confiança e margem de erro:
Universo: Eleitorado do Estado de Minas Gerais, com 16 anos ou mais. Amostragem: A pesquisa irá coletar 1000 eleitores. Coeficiente de confiança e margem de erro: A margem de erro de aproximadamente 3% para um intervalo de confiança de 95%. Sexo: Feminino 52,5% Masculino 47,5% Faixa Etária: De 16 a 24 anos 12,0%; De 25 a 34 anos 20%; De 35 a 44 anos 21,0%; De 45 a 59 anos 25%; Mais de 60 anos 22%. Grau de Instrução: Até Fundamental Completo 42%; Ensino Médio incompleto ou Completo 38%; Ensino Superior Incompleto ou Completo 20,0%. Renda: Até 2 salários mínimos 35%; De 2 a 5 salários mínimos 45%; Acima de 5 salários mínimos 20%. Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada Fonte: https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais
";"São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários. Em caso de inconsistências, os questionários são descartados";"
Dados relativos aos municípios e bairros abrangidos pela pesquisa. Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa(conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019, A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada):
Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa(conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019, A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada)
"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG073722022";"2022-03-09 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-03-12 00:00:00";"2022-03-14 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Minas Gerais, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado de Minas Gerais, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de 3,0% para um intervalo e confiança de 95%.

As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 

Sexo: Feminino 52,1% Masculino 47,9%   
Faixa Etária: De 16 a 24 anos 12,5%; De 25 a 34 anos 19,8%; De 35 a 44 anos 20,1%; De 45 a 59 anos 24,9 %; Mais de 60 anos 22,7%.
Grau de Instrução: Até Fundamental Completo 47,1%; Ensino Médio incompleto ou Completo 39,8%; Ensino Superior Incompleto ou Completo 13,1%.
Renda: Até 2 salários mínimos 82,6%; De 2 a 5 salários mínimos 12,0%; Acima de 5 salários mínimos 5,5%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e       https://cidades.ibge.gov.br/brasil/mg/panorama  (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG049792022";"2022-05-24 23:23:01";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-05-27 00:00:00";"2022-05-28 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado de Minas Gerais, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado de Minas Gerais, com 16 anos ou mais. 
Amostragem: A pesquisa irá entrevistar 1500 eleitores aptos. 
Coeficiente de confiança e margem de erro:  A margem de erro de aproximadamente 3% para um intervalo e confiança de 95%.
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Feminino 52,1% Masculino 47,9%   
Faixa Etária: De 16 a 24 anos 12,5%; De 25 a 34 anos 19,8%; De 35 a 44 anos 20,1%; De 45 a 59 anos 24,9%; Mais de 60 anos 22,7%.
Grau de Instrução: Até Fundamental Completo 47,1%; Ensino Médio incompleto ou Completo 39,8%; Ensino Superior Incompleto ou Completo 13,1%.
Renda: Até 2 salários mínimos 81,0%; De 2 a 5 salários mínimos 13,0%; Acima de 5 salários mínimos 6%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e  https://cidades.ibge.gov.br/brasil/mg/panorama (CENSO 2010)

";" O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG004612022";"2022-08-13 16:23:13";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-08-17 00:00:00";"2022-08-18 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado de MINAS GERAIS.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 13% (feminino) 13%; 
25-34 (masculino) 20% (feminino) 19%;
 35-44 (masculino) 20% (feminino) 20%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 22% (feminino) 24%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 89% (feminino) 85%;
 Ensino Superior (masculino) 11% (feminino) 15%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 72% (feminino) 51%;
 Não Economicamente ativo (masculino) 28% (feminino) 49%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Será anexado conforme resolução."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG076882022";"2022-06-24 20:40:50";"N";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NULO#";"Governador";"2022-06-29 00:00:00";"2022-07-01 00:00:00";1204;"72.49A";"Renata Nunes César";"231526,00";"231526,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto dos eleitores do Estado de Minas Gerais foi tomado como universo da pesquisa.";"Universo: Eleitores do Estado de Minas Gerais
Tamanho da amostra: A amostra prevista é de 1204 entrevistas. 
Técnica de amostragem: A amostra é estratificada por natureza dos municípios (capital, região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados com probabilidade proporcional ao tamanho (PPT) os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. O estrato referente à capital foi desproporcionalizado para permitir detalhamento dos dados, com tamanho previsto de 448 entrevistas. Nos resultados finais as corretas proporções serão restabelecidas através de ponderação.

Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE (junho 2022), IBGE (PNAD 2019 e Estimativa 2021) e dados primários de outros levantamentos do instituto.  Os dados relativos a sexo e faixa etária são: Sexo masculino: 48%, feminino: 52%, 16 a 24 anos 13%, 25 a 34 anos 19%, 35 a 44 anos 20%, 45 a 59 anos 25% e 60 anos ou mais 23%.

Para a variável grau de instrução os dados utilizados como referência são: até nível médio completo ou incompleto (inclui os sem escolaridade e analfabetos) =80% e nível superior =20%.

Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis natureza do município, sexo, faixa etária e escolaridade, de acordo com os percentuais detalhados anteriormente.  Para o nível econômico do entrevistado (renda familiar mensal declarada), a distribuição observada em levantamentos anteriores do instituto e utilizada como referência foi: Até 2 S.M. (salários mínimos)=46%, mais de 2 S.M.=49%, não souberam ou recusaram a resposta=5%.  O fator previsto para ponderação é 1 (resultados obtidos em campo).


Área física: Serão realizadas entrevistas em 52 municípios, localizados no Estado de Minas Gerais. A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente até o sétimo dia seguinte à data de registro da pesquisa, conforme Resolução 23.600/2019 do TSE, no art.2º §7º. 

Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95% e baseada em uma amostra aleatória simples (AAS). Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.
";"Os entrevistadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados. Os dados coletados e tratados nesta pesquisa atendem às exigências da LGPD, Lei Geral de Proteção de Dados, garantindo ao respondente o sigilo de sua identidade e o correto tratamento de suas respostas.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG066032022";"2022-08-12 18:25:22";"N";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NULO#";"Governador, Senador";"2022-08-16 00:00:00";"2022-08-18 00:00:00";1216;"72.49A";"Renata Nunes César";"231526,00";"231526,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto dos eleitores do Estado de Minas Gerais foi tomado como universo da pesquisa.";"Universo: Eleitores do Estado de Minas Gerais
Tamanho da amostra: A amostra prevista é de 1216 entrevistas. 
Técnica de amostragem: A amostra é estratificada por natureza dos municípios (capital, região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados com probabilidade proporcional ao tamanho (PPT) os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. O estrato referente à capital foi desproporcionalizado para permitir detalhamento dos dados, com tamanho previsto de 448 entrevistas. Nos resultados finais as corretas proporções serão restabelecidas através de ponderação.

Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE (julho 2022), IBGE (PNAD 2019 e Estimativa 2021) e dados primários de outros levantamentos do instituto.  Os dados relativos a sexo e faixa etária são: Sexo masculino: 48%, feminino: 52%, 16 a 24 anos 13%, 25 a 34 anos 19%, 35 a 44 anos 20%, 45 a 59 anos 25% e 60 anos ou mais 23%.

Para a variável grau de instrução os dados utilizados como referência são: até nível médio completo ou incompleto (inclui os sem escolaridade e analfabetos) =79% e nível superior =21%.

Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis natureza do município, sexo, faixa etária e escolaridade, de acordo com os percentuais detalhados anteriormente.  Para o nível econômico do entrevistado (renda familiar mensal declarada), a distribuição observada em levantamentos anteriores do instituto e utilizada como referência foi: Até 2 S.M. (salários mínimos)=48%, mais de 2 S.M.=48%, não souberam ou recusaram a resposta=4%.  O fator previsto para ponderação é 1 (resultados obtidos em campo).


Área física: Serão realizadas entrevistas em 60 municípios, localizados no Estado de Minas Gerais. A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente até o sétimo dia seguinte à data de registro da pesquisa, conforme Resolução 23.600/2019 do TSE, no art.2º §7º. 

Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95% e baseada em uma amostra aleatória simples (AAS). Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.
";"Os entrevistadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados. Os dados coletados e tratados nesta pesquisa atendem às exigências da LGPD, Lei Geral de Proteção de Dados, garantindo ao respondente o sigilo de sua identidade e o correto tratamento de suas respostas.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG057052022";"2022-05-26 15:49:50";"N";"42532542000155";"DATA TEMPO LIMITADA";"#NULO#";"Governador, Senador";"2022-05-27 00:00:00";"2022-06-01 00:00:00";2000;"10979";"FELIPE MURADAS SAN MARTIN FONTES AZEVEDO";"117240,00";"117240,00";"A metodologia utilizada é Survey quantitativo, com realização de entrevistas pessoais e domicilares, com aplicação de questionário estruturado e padronizado em plataforma digital (tablet) junto à uma amostra representativa dos eleitores do estado de Minas Gerais.";"O universo da pesquisa é composto pelo eleitorado de Minas gerais com idade a partir de 16 anos, representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio, baseado nos municípios sorteados, foi realizado um sorteio probabilístico por meio do método PPT (Probabilidade Proporcional ao Tamanho) de setores censitários a serem visitados pelos entrevistadores. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: GÊNERO: Feminino (52%) Masculino (48%); IDADE: 16-17 (1%), 18-24 (12%), 25-34 (19%), 35-44 (20%), 45-59 (25%), 60 e + (23%); INSTRUÇÃO: Ensino Fundamental (43%), Ensino Médio (37%), Ensino Superior (20%); RENDA FAMILIAR: Até 2 salários mínimos (28%), 2 a 5 salários mínimos (50%), Acima de 5 salários mínimos (22%). Está prevista eventual ponderação da amostra para correção das variáveis sexo, idade, renda familiar e escolaridade com base nos percentuais anteriormente mencionados, caso ocorram diferenças entre os percentuais previstos na amostra e a coleta de dados realizada. Dentro do público-alvo, serão realizadas 2000 entrevistas. O nível de confiança estimado é de 95% e a margem de erro máxima prevista, baseada em uma amostra aleatória simples (AAS), é de cerca de 2,19 pontos percentuais para mais ou para menos em relação aos totais da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.";"A coleta de dados é realizada por entrevistadores treinados, qualificados e supervisionados por coordenadores de campo. Todos os questionários são preenchidos no  tablet e recebem crítica para avaliação quanto a consistência dos dados coletados, sendo que 20% dos questionários são separados, aleatoriamente, e submetidos à fiscalização e checagem através de novos contatos com os entrevistados, medida sempre adotada que visa garantir a qualidade e fidelidade dos dados coletados.";"A área de abrangência da coleta é no Estado de Minas Gerais. A relação dos municípios e áreas selecionadas para a pesquisa constará em anexo a ser apresentado até o dia seguinte à data a partir da qual a pesquisa puder ser divulgada, conforme §7º do art. 2º da Resolução-TSE nº. 23.600/2019"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG028092022";"2022-08-01 20:20:01";"N";"09283689000183";"SUELI DAS DORES ALMEIDA - ME";"PROMIDIA PESQUISA DE OPINIAO PUBLICA E MARKETING";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-08-01 00:00:00";"2022-08-13 00:00:00";1230;"7655";"AUGUSTO DA SILVA ROCHA";"36600,00";"36600,00";"Pesquisa em 25 municípios de Minas Gerais, do tipo quantitativa, com aplicação de questionário estruturado, abordagem pessoal em ponto de fluxo populacional e domiciliar. O conjunto da população eleitoral dos municípios com 16 anos ou mais foi tomado como universo da pesquisa.

";"O público alvo do estudo é a população do estado residente na área urbana com 16 anos ou mais nos municípios de Alfenas, Alpinópolis, Alterosa, Arceburgo, Areado, Cabo Verde, Campestre, Campo do Meio, Campos Gerais, Carmo do Rio Claro, Conceição da Aparecida, Divisa Nova, Elói Mendes, Fama, Guaranésia, Guaxupé, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Poço Fundo, Serrania e Varginha. O desenho da amostra será realizado de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE. Para um intervalo de confiança de 95% e um tamanho de amostra de 1230 entrevistas, a margem de erro máxima estimada foi de 2.8 pontos percentuais, para mais ou para menos.

Os entrevistados são selecionados aleatoriamente segundo as cotas do estudo em função de variáveis significativas, a saber:
Sexo: Masculino 47,75%, Feminino 52,25%. Idade 16 a 24 anos 12,4%, 25 a 34 anos 19,3%, 35 a 44 anos 19,9%, 45 a 59 anos 24,8%,60 anos ou mais 23,5%, ESCOLARIDADE: 
Analfabeto/Lê e Escreve 12,4%, Ensino Fundamental Incompleto 26,2%; Ensino Fundamental Completo 6,3%;  Ensino Médio Incompleto 18,9%; Ensino Médio Completo 22,8%; Superior Incompleto 4,0%; Superior Completo 9,4%; RENDA: Até 1/2 SM 5,5%; De 1/2 à 1 SM 15,3%, De 1 à 2 SM 24,5%, De 2 à 5 SM 35,4%, De 5 a 10 SM 12,8%; De 10 a 20 SM 4,6%; Mais de 20 SM1 1,9% 
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores credenciados devidamente treinados pela empresa para esse tipo de pesquisa. Após os trabalhos de campo, 100% dos questionários são criticados e passam por uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados por cada entrevistador; para verificação da consistência das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"MG";"MG";"MINAS GERAIS";"MG067172022";"2022-08-23 21:48:37";"N";"09283689000183";"SUELI DAS DORES ALMEIDA - ME";"PROMIDIA PESQUISA DE OPINIAO PUBLICA E MARKETING";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-08-25 00:00:00";"2022-08-30 00:00:00";1230;"7655";"AUGUSTO DA SILVA ROCHA";"36600,00";"36600,00";"Pesquisa em 25 municípios de Minas Gerais, do tipo quantitativa, com aplicação de questionário estruturado, abordagem pessoal em ponto de fluxo populacional e domiciliar. O conjunto da população eleitoral dos municípios com 16 anos ou mais foi tomado como universo da pesquisa.";"O público alvo do estudo é a população do estado residente na área urbana com 16 anos ou mais nos municípios de Alfenas, Alpinópolis, Alterosa, Arceburgo, Areado, Cabo Verde, Campestre, Campo do Meio, Campos Gerais, Carmo do Rio Claro, Conceição da Aparecida, Divisa Nova, Elói Mendes, Fama, Guaranésia, Guaxupé, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Poço Fundo, Serrania e Varginha. O desenho da amostra será realizado de acordo com os dados populacionais disponibilizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE) referentes ao Censo 2010 e TSE/TRE. Para um intervalo de confiança de 95% e um tamanho de amostra de 1230 entrevistas, a margem de erro máxima estimada foi de 2.8 pontos percentuais, para mais ou para menos.

Os entrevistados são selecionados aleatoriamente segundo as cotas do estudo em função de variáveis significativas, a saber:
Sexo: Masculino 47,75%, Feminino 52,25%. Idade 16 a 24 anos 12,4%, 25 a 34 anos 19,3%, 35 a 44 anos 19,9%, 45 a 59 anos 24,8%,60 anos ou mais 23,5%, ESCOLARIDADE: 
Analfabeto/Lê e Escreve 12,4%, Ensino Fundamental Incompleto 26,2%; Ensino Fundamental Completo 6,3%;  Ensino Médio Incompleto 18,9%; Ensino Médio Completo 22,8%; Superior Incompleto 4,0%; Superior Completo 9,4%; RENDA: Até 1/2 SM 5,5%; De 1/2 à 1 SM 15,3%, De 1 à 2 SM 24,5%, De 2 à 5 SM 35,4%, De 5 a 10 SM 12,8%; De 10 a 20 SM 4,6%; Mais de 20 SM1 1,9% 
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores credenciados devidamente treinados pela empresa para esse tipo de pesquisa. Após os trabalhos de campo, 100% dos questionários são criticados e passam por uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados por cada entrevistador; para verificação da consistência das respostas e da adequação dos entrevistados aos parâmetros amostrais.
";"#NULO#"
