"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN053752022";"2022-04-30 21:26:58";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-04-30 00:00:00";"2022-05-02 00:00:00";1500;"8954";"Galttieri Ferreira Tavares";"12000,00";"12000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem aleatória estratificada com subestratos às microrregiões potiguar, seguindo por
cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado dentro da microrregião.
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais,
disponível em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos
setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de geografia e estatística - IBGE, percorrendo um total de 1500
entrevistas.";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1
para compilar e analisar os dados.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN023132022";"2022-06-16 18:48:22";"S";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-06-17 00:00:00";"2022-06-19 00:00:00";1500;"8954";"Galttieri Ferreira Tavares";"10000,00";"10000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem aleatória estratificada com subestratos às microrregiões potiguar, seguindo por 
cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado dentro da microrregião. 
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais 
disponíveis em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos 
setores censitários, conforme definido em mapa atualizado pelo instituto brasileiro de geografia e estatística - IBGE, percorrendo um total de 1500
entrevistas.";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada.";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"Bom Jesus, Brejinho, Lagoa Salgada, Monte Alegre, Nova Cruz, Vera Cruz, Afonso Bezerra
Lajes, João Câmara, Monte das Gameleiras, Ruy Barbosa, Santa Cruz, São José do Campestre
Tangará, Apodi, Maxaranguape, Touros, Goianinha, Pedro Velho, Tibau do Sul, Macaíba,
São Gonçalo do Amarante, São José do Mipibú, Macau, Augusto Severo, Upanema, Baraúna
Mossoró, Natal, Parnamirim, Itaú, Marcelino Vieira, Pau dos Ferros, Portalegre, Rodolfo Fernandes
Caicó, Serra Negra do Norte, Acari, Currais Novos, São José do Seridó, Florânia, Santana do Matos
Doutor Severiano, Encanto, São Miguel, Martins, Patu, Umarizal, Açu, Alto do Rodrigues, 
Jucurutu."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN030142022";"2022-07-21 20:18:11";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-07-22 00:00:00";"2022-07-24 00:00:00";1500;"8954";"Galtieri Ferreira Tavares";"8000,00";"8000,00";"Pesquisa quantitativa com questionário semi-estruturado onde utilizou uma amostragem aleatória estratificada com subestratos às microrregiões 
potiguar, seguindo por cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado 
dentro da microrregião. Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e 
atualizações populacionais, disponível em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa 
Nacional por Domicílio - PNAD. A Pesquisa será realizada nos setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de 
geografia e estatística - IBGE, percorrendo um total de 1500 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisores (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"Bom Jesus Brejinho Lagoa Salgada Monte Alegre Nova Cruz Vera Cruz Afonso Bezerra
Lajes João Câmara Monte das Gameleiras Ruy Barbosa Santa Cruz São José do Campestre
Tangará Apodi Maxaranguape Touros Goianinha Pedro Velho Tibau do Sul Macaíba São Gonçalo do Amarante São José do Mipibú Macau Augusto Severo Upanema Baraúna Mossoró Natal Parnamirim
Itaú Marcelino Vieira Pau dos Ferros Portalegre Rodolfo Fernandes Caicó Serra Negra do Norte Acari Currais Novos São José do Seridó Florânia Santana do Matos Doutor Severiano Encanto São Miguel
Martins Patu Umarizal Açu Alto do Rodrigues Jucurutu"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN083602022";"2022-03-26 00:00:00";"S";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador";"2022-03-26 00:00:00";"2022-03-28 00:00:00";1700;"8954";"Galttieri Ferreira Tavares";"10000,00";"10000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem 
aleatória estratificada com subestratos às microrregiões potiguares, seguindo por 
cotas proporcionais de sexo, faixa etária e renda do município e amostra 
proporcional ao tamanho de cada município alocado dentro da microrregião. 
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, 
disponíveis no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais, 
disponíveis em https://www.ibge.gov.br/estatisticas/sociais/populacao, através 
da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos 
setores censitários, conforme definido em mapa atualizado pelo instituto 
brasileiro de geografia e estatística - IBGE, percorrendo um total de 1700
entrevistas.";"Dentro do município, em cada zona administrativa, proporcionalmente ao 
número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as 
estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,5 % para mais ou para 
menos, nas estatísticas apresentadas para o total da amostra levantada.";"A equipe aplicadora dos questionários estruturados foi formada por 15
entrevistadores e 3 supervisores. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 
30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita 
pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN065612022";"2022-08-19 21:39:38";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-08-20 00:00:00";"2022-08-22 00:00:00";1500;"8954";"Galtieri Ferreira Tavares";"8000,00";"8000,00";"Pesquisa quantitativa com questionário semi-estruturado onde utilizou uma amostragem aleatória estratificada com subestratos às microrregiões 
potiguar, seguindo por cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado 
dentro da microrregião. Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e 
atualizações populacionais, disponíveis em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa 
Nacional por Domicílio - PNAD. A Pesquisa será realizada nos setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de 
geografia e estatística - IBGE, percorrendo um total de 1500 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas 
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de 
significância) é de 95% com margem de erro de 2,7 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada.";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisores. Todos os questionários foram supervisionados 
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão 
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 
para compilar e analisar os dados.";"Bom Jesus
Brejinho
Lagoa Salgada
Monte Alegre
Nova Cruz
Vera Cruz
Afonso Bezerra
Lajes
João Câmara
Monte das Gameleiras
Ruy Barbosa
Santa Cruz
São José do Campestre
Tangará
Apodi
Maxaranguape
Touros
Goianinha
Pedro Velho
Tibau do Sul
Macaíba
São Gonçalo do Amarante
São José do Mipibú
Macau
Augusto Severo
Upanema
Baraúna
Mossoró
Natal
Parnamirim
Itaú
Marcelino Vieira
Pau dos Ferros
Portalegre
Rodolfo Fernandes
Caicó
Serra Negra do Norte
Acari
Currais Novos
São José do Seridó
Florânia
Santana do Matos
Doutor Severiano
Encanto
São Miguel
Martins
Patu
Umarizal
Açu
Alto do Rodrigues
Jucurutu
"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN061522022";"2022-02-01 00:00:00";"N";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"INSTITUTO SETA DE PESQUISA";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-02-01 00:00:00";"2022-02-03 00:00:00";1600;"8954";"Galttieri Ferreira Tavares";"10000,00";"10000,00";"A metodologia empregada nesta pesquisa utilizou uma amostragem aleatória estratificada com subestratos às microrregiões potiguar, seguindo por
cotas proporcionais de sexo, faixa etária e renda do município e amostra proporcional ao tamanho de cada município alocado dentro da microrregião.
Para efeito de comparação, utilizou-se de dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552) e atualizações populacionais,
disponível em https://www.ibge.gov.br/estatisticas/sociais/populacao, através da Pesquisa Nacional por Domicílio - PNAD. A Pesquisa será realizada nos
setores censitário, conforme definido em mapa atualizado pelo instituto brasileiro de geografia e estatística - IBGE, percorrendo um total de 1600 entrevistas.
";"Dentro do município, em cada zona administrativa, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas
proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2020). O intervalo de confiança (nível de
significância) é de 95% com margem de erro de 2,5 % para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"A equipe aplicadora dos questionários estruturados foi formada por 15 entrevistadores e 3 supervisor. Todos os questionários foram supervisionados
no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 30% foi checado posteriormente (diretamente no local), haverá supervisão
interna de todos os questionários aplicados e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1
para compilar e analisar os dados.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN003862022";"2022-08-17 00:28:29";"S";"03348102000190";"BRAMANE SERVICOS DE COMUNICACAO LTDA";"BRAMANE MARKETING E COMUNICACAO";"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-08-17 00:00:00";"2022-08-19 00:00:00";2000;"5884";"Francisco de Assis Medeiros da Silva";"15000,00";"15000,00";"O universo da pesquisa limita os entrevistados aos 2.554.727 eleitores do estado do Rio Grande do Norte, segundo o Tribunal Superior Eleitoral (TSE). Os eleitores foram distribuídos em função das regiões geográficas imediatas e intermediárias e ainda, por cotas de urbanização, sexo, faixa etária e escolaridade em cada município sorteado proporcional a sua parcela dentro do espaço geográfico em tela. Para estabelecimento da metodologia foram utilizadas informações referentes ao censo 2010 (Sidra, tabela 1552) e estatísticas do eleitorado referente a julho de 2022, disponível nos endereços: https://www.tse.jus.br/eleitor/estatisticas-do-eleitorado, para totalizar 2.000 entrevistas.";".000 entrevistas foram realizadas de forma aleatória, considerando 47% do sexo masculino e 53% do sexo feminino. As faixas etárias, referente ao mês de julho de 2022, apresentaram os seguintes percentuais: 16-24 anos, 15%; 25-34 anos, 21%; 35-44 anos, 21%; 45-59 anos, 24% e 60 anos ou mais, 19%. Os percentis referentes a escolaridade são para analfabetos e pessoas que leem e escrevem, 16%, fundamental completo e incompleto, 30%, médio completo e incompleto, 40% e superior completo e incompleto, 14%. O erro amostral é de 2,19% para mais ou para menos e o intervalo de confiança de 95%.";"A Brâmane, que realizou a pesquisa, utilizou 4 equipes de 5 pessoas cada, com 4 pesquisadores e 1 coordenador que supervisionou a aplicação dos formulários digitais (in loco). O software utilizado permite o acompanhamento por geolocalização da realização das entrevistas através de coordenadas de longitude e latitude e, ainda, a criticidade das respostas. Os pesquisadores utilizam tablets para a realização das entrevistas.";"Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada. A área de abrangência da coleta é o Rio Grande do Norte, com os municípios pesquisados sendo: Acari, Alexandria, Antônio Martins, Caicó, Campo Redondo, Cruzeta, Canguaretama, Caraúbas, Currais Novos, Dr Severiano, Goianinha, Jardim de Piranhas, Jardim do Seridó, José da Penha, Jucurutu, Lagoa Nova, Luís Gomes, Marcelino Vieira, Martins, Nísia Floresta, Nova Cruz, Parelhas, Passa e Fica, Patu, Pau dos Ferros, Portalegre, Riachuelo, Santa Cruz, Santana do Matos, Santo Antônio, São José do Mipibu, São José do Campestre, São Miguel, São Paulo do Potengi, São Pedro, São Tomé, Serra Caiada, Tangará, Tenente Ananias, Tibau do Sul, Umarizal, Alto do Rodrigues, Apodi, Areia Branca, Assú, Baraúna, Ceará Mirim, Extremoz, Governador Dix-sept Rosado, Guamaré, Ipanguaçu, Jandaíra, João Câmara, Macaíba, Macau, Mossoró, Natal, Parazinho, Parnamirim, Pedro Avelino, São Gonçalo do Amarante, Touros. "
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN039912022";"2022-06-14 20:55:56";"S";"03348102000190";"BRAMANE SERVICOS DE COMUNICACAO LTDA";"BRAMANE MARKETING E COMUNICACAO";"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-06-14 00:00:00";"2022-06-17 00:00:00";2000;"5884";"Francisco de Assis Medeiros da Silva";"15000,00";"15000,00";"O universo da pesquisa limita os entrevistados aos 2.553.940 eleitores do estado do Rio Grande do Norte, segundo o Tribunal Superior Eleitoral (TSE). Os eleitores foram distribuídos em função das regiões geográficas imediatas e intermediárias e ainda, por cotas de urbanização, sexo, faixa etária e escolaridade em cada município sorteado proporcional a sua parcela dentro do espaço geográfico em tela. Para estabelecimento da metodologia foram utilizadas informações referentes ao censo 2010 (Sidra, tabela 1552) e estatísticas do eleitorado referente a maio de 2022, disponível nos endereços: https://www.tse.jus.br/eleitor/estatisticas-do-eleitorado, para totalizar 2.000 entrevistas";"Plano amostral e ponderação quanto a sexo, idade e grau de instrução, intervalo de confiança e margem de erro 2.000 entrevistas foram realizadas de forma aleatória, considerando 47% do sexo masculino e 53% do sexo feminino. As faixas etárias, referente ao mês de março de 2022, apresentaram os seguintes percentuais: 16-24 anos, 15,17%; 25-34 anos, 21,04%; 35-44 anos, 20,90%; 45-59 anos, 24,13% e 60 anos ou mais, 18,75%. Os percentis referentes a escolaridade são para analfabetos e pessoas que leem e escrevem, 16,4%, fundamental completo e incompleto, 29,5%, médio completo e incompleto, 40% e superior completo e incompleto, 14,1%. O erro amostral é de 2,19% para mais ou para menos e o intervalo de confiança de 95%.";"Sistema interno de controle e verificação, conferência e fiscalização da coleta de dados e do trabalho de campo. A Brâmane, que realizou a pesquisa, utilizou 4 equipes de 5 pessoas cada, com 4 pesquisadores e 1 coordenador que supervisionou a aplicação dos formulários digitais (in loco). O software utilizado permite o acompanhamento por geolocalização da realização das entrevistas através de coordenadas de longitude e latitude e, ainda, a criticidade das respostas";"Dados relativos aos municípios e bairros abrangidos pela pesquisa. Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada. A área de abrangência da coleta é o Rio Grande do Norte, com os municipios pesquisados sendo: Acari, Alexandria, Angicos, Antônio Martins, Almino Afonso, Alto do Rodrigues, Apodi, Areia Branca, Arês, Assu, Baraúna, Caicó, Campo Redondo, Canguaretama, Caraúbas, Ceará Mirim, Cerro Corá, Currais Novos, Encanto, Extremoz, Francisco Dantas, Goianinha, Governador Dix-sept Rosado, Guamaré, Jardim de Angicos, Jardim de Piranhas, Jardim do Seridó, João Câmara, Jucurutu, Macaíba, Macau, Marcelino Vieira, Maxaranguape, Mossoró, Natal, Nísia Floresta, Nova Cruz, Olho D¿Água dos Borges, Parazinho, Parelhas, Parnamirim, Passa e Fica, Patu, Pau dos Ferros, Pedra Grande, Pendências, Portalegre, Rafael Fernandes,  Santo Antônio, São Gonçalo do Amarante, São José do Campestre, Santa Maria, São José do Mipibu, Santa Cruz, São Fernando, São Miguel, São Paulo do Potengi, São Pedro, Senador Elói de Souza, Serra Caiada,  Tangará, Touros, Umarizal."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN074832022";"2022-05-04 17:32:23";"S";"03348102000190";"BRAMANE SERVICOS DE COMUNICACAO LTDA";"BRAMANE MARKETING E COMUNICACAO";"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-05-02 00:00:00";"2022-05-05 00:00:00";1500;"5884";"Francisco de Assis Medeiros da Silva";"12000,00";"12000,00";"O universo da pesquisa limita os entrevistados aos 2.480.006 eleitores do estado do Rio Grande do Norte, segundo o Tribunal Regional Eleitoral do Estado do Rio Grande do Norte (TRE/RN). Os eleitores foram distribuídos em função das microrregiões potiguares e ainda, por cotas de sexo, faixa etária e escolaridade em cada município sorteado proporcional a sua parcela dentro do espaço geográfico em tela. Para estabelecimento da metodologia foram utilizadas informações referentes ao censo 2010 (Sidra, tabela 1552) e estatísticas do eleitorado referente a março de 2022, disponível nos endereços: https://www.tse.jus.br/eleitor/estatisticas-do-eleitorado, para totalizar 1.500 entrevistas.";"Plano amostral e ponderação quanto a sexo, idade e grau de instrução, intervalo de confiança e margem de erro 1.500 entrevistas foram realizadas de forma aleatória, considerando 47,1%% do sexo masculino e 52,9% do sexo feminino. As faixas etárias, referente ao mês de março de 2022, apresentou os seguintes percentuais: 16-24 anos, 13,43%; 25-34 anos, 21,59%; 35-44 anos, 21,30%; 45-59 anos, 24,60% e 60 anos ou mais, 19,08%. O erro amostral foi de 2,53% para mais ou para menos e o intervalo de confiança de 95%.";"Sistema interno de controle e verificação, conferência e fiscalização da coleta de dados e do trabalho de campo. A Brâmane, que realizou a pesquisa, utilizou 4 equipes de 5 pessoas cada, com 4 pesquisadores e 1 coordenador que supervisionou a aplicação dos formulários digitais (in loco). O software utilizado permite o acompanhamento por geolocalização da realização das entrevistas através de coordenadas de longitude e latitude e, ainda, a criticidade das respostas.";"Dados relativos aos municípios e bairros abrangidos pela pesquisa.  Na ausência de delimitação do bairro, foi identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada). Os municípios pesquisados foram Acari, Alexandria, Apodi, Areia Branca, Arês, Assu, Baraúnas, Caicó, Campo Grande, Campo Redondo, Canguaretama, Caraúbas, Ceará Mirim, Cerro Corá, Currais Novos, Extremoz, Goianinha, Guamaré, Ielmo Marinho, Ipanguaçu, Jardim de Piranhas, Jardim do Seridó, João Câmara, Jucurutu, Lagoa Nova, Luís Gomes, Macaíba, Macau, Marcelino Vieira, Martins, Monte Alegre, Mossoró, Natal, Nísia Floresta, Nova Cruz, Parelhas, Parnamirim, Patu, Pau dos Ferros, Pendências, Poço Branco, Portalegre, Rio do Fogo, Afonso Bezerra, Angicos, Caiçara do Rio do Vento, Fernando Pedroza, Santana do Matos, Santo Antônio, São Gonçalo do Amarante, São José do Mipibu, Santa Cruz, São Miguel, São Paulo do Potengi, São Tomé, Serrinha, Taipu, Tangará, Tibau do Sul, Touros, Umarizal e Upanema."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RN";"RN";"RIO GRANDE DO NORTE";"RN069202022";"2022-07-27 16:07:10";"S";"03348102000190";"BRAMANE SERVICOS DE COMUNICACAO LTDA";"BRAMANE MARKETING E COMUNICACAO";"Senador, Deputado Federal, Deputado Estadual, Deputado Distrital";"2022-07-26 00:00:00";"2022-07-29 00:00:00";1600;"5884";"Francisco de Assis Medeiros da Silva";"12000,00";"12000,00";"O universo da pesquisa limita os entrevistados aos 2.554.727 eleitores do estado do Rio Grande do Norte, segundo o Tribunal Superior Eleitoral (TSE). Os eleitores foram distribuídos em função das regiões geográficas imediatas e intermediárias e ainda, por cotas de urbanização, sexo, faixa etária e escolaridade em cada município sorteado proporcional a sua parcela dentro do espaço geográfico em tela. Para estabelecimento da metodologia foram utilizadas informações referentes ao censo 2010 (Sidra, tabela 1552) e estatísticas do eleitorado referente a junho de 2022, disponível nos endereços: https://www.tse.jus.br/eleitor/estatisticas-do-eleitorado, para totalizar 1.600 entrevistas.";"1.600 entrevistas foram realizadas de forma aleatória, considerando 47,2% do sexo masculino e 52,8% do sexo feminino. As faixas etárias, referente ao mês de julho de 2022, apresentaram os seguintes percentuais: 16-24 anos, 14,95%; 25-34 anos, 21,01%; 35-44 anos, 20,92%; 45-59 anos, 24,15% e 60 anos ou mais, 18,83%. Os percentis referentes a escolaridade são para analfabetos e pessoas que leem e escrevem, 16,1%, fundamental completo e incompleto, 29,5%, médio completo e incompleto, 40,5% e superior completo e incompleto, 13,9%. O erro amostral é de 2,45% para mais ou para menos e o intervalo de confiança de 95%.";"A Brâmane, que realizou a pesquisa, utilizou 4 equipes de 5 pessoas cada, com 4 pesquisadores e 1 coordenador que supervisionou a aplicação dos formulários digitais (in loco). O software utilizado permite o acompanhamento por geolocalização da realização das entrevistas através de coordenadas de longitude e latitude e, ainda, a criticidade das respostas. Os pesquisadores utilizam tablets para a realização das entrevistas.";"Na ausência de delimitação do bairro, será identificada a área em que foi realizada a pesquisa (conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A partir do dia em que a pesquisa puder ser divulgada e até o dia seguinte, o registro deverá ser complementado, sob pena de ser a pesquisa considerada não registrada; na ausência de delimitação do bairro, será identificada a área em que foi realizada. A área de abrangência da coleta é o Rio Grande do Norte, com os municipios pesquisados sendo: Tangará, Santa Cruz, Campo Redondo, Currais Novos, Acari, Carnaúba dos Dantas, Parelhas, Jardim do Seridó, Caicó, São Fernando, Jardim de Piranhas, Patu, Almino Afonso, Rafael Godeiro, Olho D'Água do Borges, Umarizal, Martins, Serrinha dos Pintos, Pilões, Marcelino Vieira, Rafael Fernandes, Pau dos Ferros, Francisco Dantas, Portalegre, Apodi, Caraúbas, Campo Grande, Assu, Angicos, Afonso Bezerra, Pedro Avelino, Riachuelo, São Paulo do Potengi, São Pedro, Senador Elói de Souza, São José do Campestre, Serrinha, Santo Antônio, Nova Cruz, Pedro Velho, Canguaretama, Goianinha, Nísia Floresta, São José de Mipibu, Baraúna, Guamaré, Macau, Pendências, Areia Branca, Mossoró, Ceará-Mirim, João Câmara, Parazinho, Pedra Grande, Maxaranguape, Extremoz, São Gonçalo do Amarante, Natal, Parnamirim, Macaíba"
