"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS066332022";"2022-04-12 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-04-15 00:00:00";"2022-04-16 00:00:00";1200;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Rio Grande do Sul, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. 

";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. 
Amostragem - A pesquisa irá entrevistar 1200 eleitores.
Coeficiente de confiança e margem de erro - A amostra a nível municipal tem uma margem de erro de 3,1% para um intervalo e confiança de 95% 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 

Sexo:  Feminino 52,5%; Masculino 47,5%.
Faixa Etária: De 16 a 24 anos 11,4% ; De 25 a 34 anos 18,9%; De 35 a 44 anos 19,2%; De 45 a 59 anos 25,5%; Mais de 60 anos 25,0%.
Grau de Instrução: Até Fundamental Completo 45,0%; Ensino Médio incompleto ou Completo 37,2%;  Ensino Superior Incompleto ou Completo 17,8%.
Renda: Até 2 salários mínimos 75,0%; De 2 a 5 salários mínimos 17,2%;  Acima de 5 salários mínimos 7,8%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e  https://cidades.ibge.gov.br/brasil/rs/panorama (CENSO 2010)";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS024222022";"2022-05-21 15:45:57";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-05-23 00:00:00";"2022-05-24 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Rio Grande do Sul, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. 
";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. 
Amostragem - A pesquisa irá entrevistar 1500 eleitores.
Coeficiente de confiança e margem de erro - A amostra a nível municipal tem uma margem de erro de aproximadamente 3% para um intervalo e confiança de 95% 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo:  Feminino 52,5%; Masculino 47,5%.
Faixa Etária: De 16 a 24 anos 11,4% ; De 25 a 34 anos 18,9%; De 35 a 44 anos 19,2%; De 45 a 59 anos 25,5%; Mais de 60 anos 25,0%.
Grau de Instrução: Até Fundamental Completo 45,0%; Ensino Médio incompleto ou Completo 37,2%;  Ensino Superior Incompleto ou Completo 17,8%.
Renda: Até 2 salários mínimos 75,0%; De 2 a 5 salários mínimos 17,2%;  Acima de 5 salários mínimos 7,8%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e https://cidades.ibge.gov.br/brasil/rs/panorama (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.
";"Em anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS091852022";"2022-05-28 22:48:02";"S";"19259002000128";"NERVERA SERVICOS DE INFORMATICA LTDA";"NERVERA";"Governador";"2022-05-28 00:00:00";"2022-05-31 00:00:00";1600;"5826-A";"Vera Lucia Candiani";"75000,00";"75000,00";"Pesquisa quantitativa com coleta aleatória via questionário estruturado web e pós-estratificação da amostra de acordo com as características do eleitorado do Estado do Rio Grande do Sul";"Amostra aleatória pôs-estratificada via algoritmo iterativo utilizando-se quotas amostrais proporcionais representativas, em função das características do eleitorado do RS: 

SEXO: Masculino - 47%; Feminino - 53% 
FAIXA ETÁRIA: Entre 16 e 24 anos: 11%; Entre 25 e 34 anos: 19%; Entre 35 e 44 anos: 19%; Entre 45 e 59 anos: 25%; 60 anos ou mais: 26% | ESCOLARIDADE: Até Ensino Médio: 82%; Ensino Superior: 18% 
NÍVEL ECONÔMICO: Renda familiar mensal até 2SM: 36%; acima de 2SM: 64%. 

Na agregação final, para cada variável de ponderação serão admissíveis desvios de até 2 pontos percentuais em relação as quotas estipuladas. 

O nível de confiança estimado é de 95% para uma margem de erro de +/- 2 pontos percentuais. FONTE DOS DADOS: PNADC 2022 | TSE 2022
";"Coleta feita com a utilização de questionário eletrônico com procedimentos específicos para o armazenamento seguro dos dados. São checados manualmente no mínimo 15% dos questionários para detectar possíveis anomalias. Pesquisadores especializados realizam internamente uma verificação exaustiva da consistência dos dados antes da divulgação dos resultados finais.
";"Conforme previsto no art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa é complementado com os dados relativos aos municípios e bairros abrangidos pela pesquisa."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS013652022";"2022-07-11 19:35:22";"N";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"#NULO#";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-07-12 00:00:00";"2022-07-15 00:00:00";300;"9714";"Jonas Hendler Carlos";"6570,00";"6570,00";"Pesquisa com metodologia quantitativa, com a realização de entrevistas pessoais utilizando questionário estruturado junto a uma amostra representativa do eleitorado dos municípios de Arroio do Meio, Encantado, Estrela, Lajeado,  Teutônia e Taquari, no Estado do Rio Grande do Sul.";"A amostra será representativa dos moradores das áreas pesquisadas e será selecionada em duas etapas. Na primeira etapa, a amostra será distribuída através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população com 16 anos ou mais residente nos municípios da base para essa seleção. Na segunda etapa, a seleção do entrevistado dentro da localidade será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: SEXO: Masculino: 47,0%, Feminino: 53,0%; FAIXA ETÁRIA: Entre 16 e 24 anos: 10,5%, Entre 25 e 34 anos: 19,7%, Entre 35 e 44 anos: 20,7%, Entre 45 e 59 anos: 25,8%, Com 60 anos ou mais: 23,3%; ESCOLARIDADE: Analfabeto / Lê e escreve: 2,3%, Ensino Fundamental: 38,3%, Ensino Médio: 36,9%, Ensino Superior: 22,5%, NÍVEL ECONÔMICO - RENDA FAMILIAR: Até 5 salários mínimos: 62,7%, Mais de 5 salários mínimos: 37,3%. Está prevista eventual ponderação para correção das variáveis sexo, faixa etária e escolaridade, com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 3,5 (três vírgula cinco) pontos percentuais entre o previsto na amostra e a coleta realizada, para a variável nível econômico, o fator de ponderação é igual a 1 (resultados obtidos no campo), uma vez que a base de dados disponibilizada pelo TSE não apresenta informação sobre a renda dos eleitores. O nível de confiança estimado é de 95% (noventa e cinco por cento) para uma margem de erro máxima estimada, considerando uma técnica de amostragem aleatória simples, de aproximadamente 5,7 (cinco vírgula sete) pontos percentuais para mais ou para menos sobre os resultados obtidos. Fonte de Dados: IBGE Censo 2010 e TSE ¿ Junho 2022.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo Instituto Methodus, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.";"A pesquisa será realizada nos municípios de Arroio do Meio, Encantado, Estrela, Lajeado, Teutônia e Taquari, e conforme previsto no §7º, do art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa será complementado no prazo legal com os dados relativos aos bairros abrangidos pela pesquisa ou a área em que a mesma foi realizada."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS092832022";"2022-03-21 00:00:00";"N";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"#NULO#";"Governador, Senador, Deputado Federal, Deputado Estadual";"2022-03-22 00:00:00";"2022-03-25 00:00:00";300;"9714";"Jonas Hendler Carlos";"6570,00";"6570,00";"Pesquisa com metodologia quantitativa, com a realização de entrevistas pessoais utilizando questionário estruturado junto a uma amostra representativa do eleitorado dos municípios de Arroio do Meio, Encantado, Estrela, Lajeado,  Teutônia e Taquari, no Estado do Rio Grande do Sul.";"A amostra será representativa dos moradores das áreas pesquisadas e será selecionada em duas etapas. Na primeira etapa, a amostra será distribuída através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população com 16 anos ou mais residente nos municípios da base para essa seleção. Na segunda etapa, a seleção do entrevistado dentro da localidade será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis: SEXO: Masculino: 47,0%, Feminino: 53,0%; FAIXA ETÁRIA: Entre 16 e 24 anos: 10,5%, Entre 25 e 34 anos: 19,7%, Entre 35 e 44 anos: 20,7%, Entre 45 e 59 anos: 25,8%, Com 60 anos ou mais: 23,3%; ESCOLARIDADE: Analfabeto / Lê e escreve: 2,3%, Ensino Fundamental: 38,3%, Ensino Médio: 36,9%, Ensino Superior: 22,5%, NÍVEL ECONÔMICO - RENDA FAMILIAR: Até 5 salários mínimos: 62,7%, Mais de 5 salários mínimos: 37,3%. Está prevista eventual ponderação para correção das variáveis sexo, faixa etária e escolaridade, com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 3,5 (três vírgula cinco) pontos percentuais entre o previsto na amostra e a coleta realizada, para a variável nível econômico, o fator de ponderação é igual a 1 (resultados obtidos no campo), uma vez que a base de dados disponibilizada pelo TSE não apresenta informação sobre a renda dos eleitores. O nível de confiança estimado é de 95% (noventa e cinco por cento) para uma margem de erro máxima estimada, considerando uma técnica de amostragem aleatória simples, de aproximadamente 5,7 (cinco vírgula sete) pontos percentuais para mais ou para menos sobre os resultados obtidos. Fonte de Dados: IBGE Censo 2010 e TSE ¿ Fevereiro 2022.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo Instituto Methodus, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados, serão auditados em no mínimo 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.";"A pesquisa será realizada nos municípios de Arroio do Meio, Encantado, Estrela, Lajeado, Teutônia e Taquari, e conforme previsto no §7º, do art. 2º, da Resolução 23.600, de 12 de dezembro de 2019, o registro da pesquisa será complementado no prazo legal com os dados relativos aos bairros abrangidos pela pesquisa ou a área em que a mesma foi realizada."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS002522022";"2022-01-11 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-01-12 00:00:00";"2022-01-14 00:00:00";1000;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Rio Grande do Sul, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010. ";"O plano Amostral segundo os itens exigidos por lei seguem descritos: 
Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. 
Amostragem - A pesquisa irá entrevistar 1000 eleitores.
Coeficiente de confiança e margem de erro - A amostra a nível municipal tem uma margem de erro de 3,1% para um intervalo e confiança de 95% 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. Sexo: Masculino 52,5%   Feminino 47,5% Faixa Etária: De 16 a 24 anos 11,4% ; De 25 a 34 anos 18,9%; De 35 a 44 anos 19,2%; De 45 a 59 anos 25,5%; Mais de 60 anos 25,0%. Grau de Instrução: Até Fundamental Completo 45,0%; Ensino Médio incompleto ou Completo 37,2%;  Ensino Superior Incompleto ou Completo 17,8%. Renda: Até 2 salários mínimos 75,0%; De 2 a 5 salários mínimos 17,2%;  Acima de 5 salários mínimos 7,8%
Fonte:  https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e     https://cidades.ibge.gov.br/brasil/rs/panorama (CENSO 2010)

";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"anexo"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS042752022";"2022-07-22 20:37:48";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-07-26 00:00:00";"2022-07-27 00:00:00";1500;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Rio Grande do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:
 IDADE:
 16-24 (masculino) 12% (feminino) 11%; 
25-34 (masculino) 19% (feminino) 18%;
 35-44 (masculino) 20% (feminino) 19%;
 45-59 (masculino) 25% (feminino) 25%;
 60 e+ (masculino) 24% (feminino) 27%;
INSTRUÇÃO: 
Até Ensino Médio (masculino) 85% (feminino) 80%;
 Ensino Superior (masculino) 15% (feminino) 20%; 
NÍVEL ECONÔMICO: 
Economicamente ativo (masculino) 72% (feminino) 54%;
 Não Economicamente ativo (masculino) 28% (feminino) 46%.
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo).
 O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2020 | TSE 2022.
";"O trabalho de coleta de dados é acompanhado in loco por supervisores de campo. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"Em anexo."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS098262022";"2022-03-29 00:00:00";"N";"20018384000187";"AMOSTRA INSTITUTO DE PESQUISA LTDA - EPP";"AMOSTRA INSTITUTO DE PESQUISA";"Governador, Senador";"2022-03-29 00:00:00";"2022-04-02 00:00:00";1500;"8225";"Roselaine Batista";"55000,00";"55000,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto da população do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Plano amostral e ponderação quanto a sexo, idade, grau de instrução e nível econômico do entrevistado; intervalo de confiança e margem de erro.
Universo: População gaúcha, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.500 entrevistas. Técnica de amostragem: A amostra é estratificada pelas sete mesorregiões do RS (Metropolitana/Centro Oriental/Centro Ocidental/ Nordeste/Noroeste/Sudeste/Sudoeste) e pela natureza dos municípios (capital, região metropolitana e interior). Em cada estrato, num primeiro estágio, são sorteados com probabilidade proporcional ao tamanho (PPT) os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas. Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE para o Rio Grande do Sul e IBGE (PNAD 2019 e Estimativa 2021). Os dados relativos a sexo e faixa etária são: Sexo masculino: 47%, feminino: 53%, 16 a 24 anos 11%, 25 a 34 anos 19%, 35 a 44 anos 19%, 45 a 59 anos 25% e 60 anos ou mais 26%. Para a variável grau de instrução os dados utilizados como referência são: até nível médio completo ou incompleto (inclui os sem escolaridade e analfabetos) =82% e nível superior =18%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis região geográfica, sexo, faixa etária e escolaridade, de acordo com os percentuais detalhados anteriormente. Para o nível econômico do entrevistado (renda familiar mensal), a distribuição observada nos últimos levantamentos do instituto e utilizada como referência foi: Até 2 salários mínimos (até R$ 2.424,00) =32%, mais de 2 salários mínimos (acima de R$ R$ 2.425,00) =68%. O fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 40 municípios, localizados nas sete mesorregiões do RS: Metropolitana/Centro Oriental/Centro Ocidental/ Nordeste/Noroeste/Sudeste/Sudoeste. A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.600/2019 do TSE, no art.2º §7º. Margem de Erro: A margem de erro máxima prevista é de 2,5 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95% e baseada em uma amostra aleatória simples (AAS). Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Sistema interno de controle e verificação, conferência e fiscalização da coleta de dados e do trabalho de campo: Os entrevistadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, 100% do material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados. Os dados coletados e tratados nesta pesquisa atendem às exigências da LGPD, Lei Geral de Proteção de Dados, garantindo ao respondente o sigilo de sua identidade e o correto tratamento de suas respostas.";"#NULO#"
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS039442022";"2022-07-18 10:03:32";"N";"37524035000130";"EVA FRANCIELI DE SOUZA PEREIRA";"IGAPE INSTITUTO GAUCHO DE PESQUISAS DE OPINIAO";"Governador, Senador";"2022-07-11 00:00:00";"2022-07-15 00:00:00";1111;"10.815";"Eduardo Schindler";"30000,00";"30000,00";"Será realizada uma pesquisa quantitativa, com entrevistas presenciais, individuais, em domicílios ou em pontos de fluxo, realizadas por entrevistadores treinados para investigar a intenção de votos para Governador, Senador e Presidente, em cenários hipotéticos, no estado do Rio Grande do Sul, nas eleições de 2022.
As entrevistas serão realizadas entre os dias 11/07/2022 e 15/07/2022.
A quantidade de entrevistas definida gera uma margem de erro máxima de 3,00 %, para mais ou para menos, e confiabilidade de 95%, considerando uma amostra aleatória simples do eleitorado registrado no estado, conforme informações do TSE.
Os entrevistados são selecionados conforme o perfil do eleitorado, segundo sexo, idade, grau de instrução, respeitando a proporcionalidade de cada perfil. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais mencionados a seguir, caso ocorram grandes diferenças. Para as demais variáveis, não está prevista ponderação.
";"A amostra é representativa dos eleitores da área pesquisada e será selecionada em duas etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas, considerando a distribuição regional. Na segunda etapa, a seleção do entrevistado dentro da localidade será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis sexo, idade, escolaridade. Está prevista eventual ponderação para correção das variáveis sexo, idade e grau de instrução, com base nos percentuais mencionados a seguir, caso ocorram diferenças superiores a 5 % entre o previsto na amostra e a coleta realizada. Para as demais variáveis, inclusive, nível econômico, o fator de ponderação previsto é igual a 1. Conforme os dados abaixo:

a)	Total de entrevistas por sexo
Sexo	TSE	(%)
  Masculino	4.069.336		(47,35)
  Feminino	4.524.133		(52,65)
Total	8.593.469		(100)
Fonte: TSE ¿ julho 2022		

b)	Total de entrevistas por idade
Faixa Etária	TSE	 (%)
  De 16 a 24 anos	986.943		(11,48)
  De 25 a 59 anos	5.367.617		(62,46)
  Com 60 anos ou mais	2.238.897		(26,05)
  Não informado	12		(< 0,01)
Total	8.539.469		(100)
Fonte: TSE ¿ julho 2022		

c)	Total de entrevistas por grau de instrução

Faixa Etária	TSE	 (%)
  Analfabeto / Lê e Escreve	423.331	(4,93)
  Até Ensino Fundamental Completo	3.293.555	(38,33)
  Até Ensino Médio Completo	3.349.851	(38,98)
  Ensino Superior	1.525.582	(17,75)
  Não informado	1.150	(0,01)
Total	8.539.469	(100)
Fonte: TSE ¿ julho 2022		
";"Os questionários serão aplicados por dispositivo eletrônico que realiza verificação automática do controle da entrada de dados. Os entrevistadores têm acesso aos questionários somente após identificação por login e senha pessoal. Independentemente da vontade do pesquisador são armazenados Hora e data do preenchimento de cada entrevista. Os pesquisadores serão devidamente treinados e acompanhados por um supervisor in locu. Será realizada verificação de até 15% dos questionários.";"A pesquisa é representativa do estado do Rio Grande do Sul."
"30/08/2022";"05:31:01";2022;9;"Eleições Gerais 2022";"RS";"RS";"RIO GRANDE DO SUL";"RS080662022";"2022-04-03 00:00:00";"N";"22345021000181";"REAL TIME MIDIA LTDA";"REAL TIME BIG DATA";"Governador, Senador";"2022-04-08 00:00:00";"2022-04-09 00:00:00";1200;"10839";"Isabela Zara Cremoneze";"20000,00";"20000,00";"A abordagem utilizada consiste na aplicação de uma amostragem aleatória representativa da população residente no Estado do Rio Grande do Sul, com 16 anos ou mais de idade. A amostra é selecionada respeitando-se quotas proporcionais controladas por região geográfica, sexo e faixa etária, escolaridade e renda de acordo com distribuição da população eleitoral apresentada pelo TSE ( https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais) e do CENSO 2010.";"O plano Amostral segundo os itens exigidos por lei seguem descritos: Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Amostragem - A pesquisa irá entrevistar 1200 eleitores. Coeficiente de confiança e margem de erro - A amostra a nível municipal tem uma margem de erro de 3,1% para um intervalo e confiança de 95% As ponderações em relação a sexo, idade, grau de instrução e nível econômico, estão descritas no questionário refletindo estatisticamente a proporção do eleitorado consultado. 
Sexo: Masculino 47,5% Feminino 52,5% Faixa Etária: De 16 a 24 anos 11,4% ; De 25 a 34 anos 18,9%; De 35 a 44 anos 19,2%; De 45 a 59 anos 25,5%; Mais de 60 anos 25,0%. Grau de Instrução: Até Fundamental Completo 45,0%; Ensino Médio incompleto ou Completo 37,2%; Ensino Superior Incompleto ou Completo 17,8%. Renda: Até 2 salários mínimos 75,0%; De 2 a 5 salários mínimos 17,2%; Acima de 5 salários mínimos 7,8% Fonte: https://www.tse.jus.br/eleicoes/estatisticas/estatisticas-eleitorais e https://cidades.ibge.gov.br/brasil/rs/panorama (CENSO 2010)
";"O trabalho de coleta de dados é acompanhado in loco por supervisores. São selecionados aleatoriamente 15% (quinze por cento) dos questionários para uma verificação posterior com ligações telefônicas para os números indicados nos formulários, em caso de dúvida, o formulário é descartado e o entrevistador chamado para esclarecimentos.";"anexo"
